Reference,doi,Composition,Location,Material,H2O technique,CO2 technique,Experimental apparatus,Sample,T_C,T_C sd,T_C sd type,P_bar,P_bar sd,P_bar sd type,H2O_wt%,H2O_wt% sd,H2O_wt% sd type,CO2_ppm,CO2_ppm sd,CO2_ppm sd type,SiO2_wt%,SiO2_wt% sd,SiO2_wt% sd type,Al2O3_wt%,Al2O3_wt% sd,Al2O3_wt% sd type,Na2O_wt%,Na2O_wt% sd,Na2O_wt% sd type,MgO_wt%,MgO_wt% sd,MgO_wt% sd type,CaO_wt%,CaO_wt% sd,CaO_wt% sd type,TiO2_wt%,TiO2_wt% sd,TiO2_wt% sd type,FeOT_wt%,FeOT_wt% sd,FeOT_wt% sd type,MnO_wt%,MnO_wt% sd,MnO_wt% sd type,K2O_wt%,K2O_wt% sd,K2O_wt% sd type,P2O5_wt%,P2O5_wt% sd,P2O5_wt% sd type,Fe3_FeT,Fe3_FeT sd,Fe3_FeT sd type,fO2,fO2 unit,fO2 sd,fO2 sd type,XH2Of,XH2Of sd,XH2Of sd type,XCO2f,XCO2f sd,XCO2f sd type,Fit_or_test,Unnamed: 65,Unnamed: 66,Unnamed: 67,Unnamed: 68,volatile-free analytical total,SiO2_n,TA_n,Symbol,Colour,calib_MagmaSat,calib_ShishkinaIdealMixing,calib_IaconoMarziano,calib_Liu,calib_Solwcad,model option,P_bar model,P_bar sd model,xgH2O model,xgH2O sd model,xgCO2 model,xgCO2 sd model
Shishkina et al. (2010) Chem Geol,10.1016/j.chemgeo.2010.07.014,Basalt,"Mutnovsky, Kamchatka",Natural,KFT,FTIR,IHPV,M39,1250,3,A,4000,50,A,6.75,0.12,A,681,54,A,45.64,0.26,A,16.59,0.23,A,2.12,0.12,A,6.22,0.14,A,10.15,0.2,A,0.86,0.04,A,8.42,0.32,A,0.18,0.1,A,0.24,0.06,A,,,ND,0.46,0.02,A,2.51,NNO,,,0.89,0.03,A,0.11,0.03,CALC,F,,,,,90.42,50.4755585,2.610042026,triangle-right,#0173b2,Y,Y,Y,N,,ShishkinaIdealMixing,4833.382973,149.9681243,0.691297409,0.016939418,0.308702591,0.016939418
Shishkina et al. (2010) Chem Geol,10.1016/j.chemgeo.2010.07.014,Basalt,"Mutnovsky, Kamchatka",Natural,KFT,FTIR,IHPV,M30,1250,3,A,4000,50,A,5.65,0.12,A,1271,101,A,45.86,0.41,A,16.6,0.15,A,2.17,0.15,A,6.36,0.2,A,10.37,0.24,A,0.86,0.04,A,8.59,0.43,A,0.14,0.09,A,0.22,0.04,A,,,ND,0.41,0.02,A,2.3,NNO,,,0.67,0.04,A,0.33,0.04,CALC,F,,,,,91.17,50.30163431,2.621476363,triangle-right,#0173b2,Y,Y,Y,N,,ShishkinaIdealMixing,5024.351151,206.2872536,0.503528895,0.020322505,0.496471105,0.020322505
Shishkina et al. (2010) Chem Geol,10.1016/j.chemgeo.2010.07.014,Basalt,"Mutnovsky, Kamchatka",Natural,KFT,FTIR,IHPV,M40,1250,3,A,4000,50,A,3.07,0.12,A,2183,178,A,47.51,0.4,A,17.27,0.22,A,2.24,0.15,A,6.66,0.21,A,10.59,0.26,A,0.92,0.04,A,8.93,0.3,A,0.17,0.09,A,0.22,0.04,A,,,ND,0.36,0.02,A,1.73,NNO,,,0.31,0.04,A,0.69,0.04,CALC,T,,,,,94.51,50.26981272,2.602899164,triangle-right,#0173b2,Y,Y,Y,N,,ShishkinaIdealMixing,5010.505566,330.0647347,0.192056386,0.015653606,0.807943614,0.015653606
Shishkina et al. (2010) Chem Geol,10.1016/j.chemgeo.2010.07.014,Basalt,"Mutnovsky, Kamchatka",Natural,KFT,FTIR,IHPV,M19,1250,3,A,5000,50,A,3.29,0.13,A,3277,266,A,47.31,0.31,A,17.08,0.21,A,2.26,0.19,A,6.63,0.19,A,10.5,0.38,A,0.87,0.04,A,8.8,0.37,A,0.13,0.09,A,0.23,0.03,A,,,ND,0.3,0.02,A,1.45,NNO,,,0.18,0.04,A,0.82,0.04,CALC,T,,,,,93.81,50.4317237,2.654301247,triangle-right,#0173b2,Y,Y,Y,N,,ShishkinaIdealMixing,6809.343299,500.9012553,0.158457254,0.013764593,0.841542746,0.013764593
Shishkina et al. (2010) Chem Geol,10.1016/j.chemgeo.2010.07.014,Basalt,"Mutnovsky, Kamchatka",Natural,KFT,FTIR,IHPV,M20,1250,3,A,5000,50,A,5.72,0.12,A,2421,268,A,46,0.4,A,16.65,0.25,A,2.14,0.18,A,6.38,0.17,A,10.31,0.25,A,0.83,0.04,A,8.48,0.35,A,0.19,0.07,A,0.25,0.05,A,,,ND,0.39,0.02,A,2.28,NNO,,,0.64,0.05,A,0.36,0.05,CALC,F,,,,,91.23,50.4220103,2.619752274,triangle-right,#0173b2,Y,Y,Y,N,,ShishkinaIdealMixing,6983.055009,464.6538765,0.370346481,0.025093873,0.629653519,0.025093873
Shishkina et al. (2010) Chem Geol,10.1016/j.chemgeo.2010.07.014,Basalt,"Mutnovsky, Kamchatka",Natural,KFT,FTIR,IHPV,M21,1250,3,A,5000,50,A,7.56,0.14,A,1051,98,A,45.12,0.35,A,16.32,0.19,A,2.17,0.2,A,6.26,0.15,A,9.98,0.21,A,0.84,0.05,A,8.4,0.28,A,0.15,0.09,A,0.21,0.03,A,,,ND,0.44,0.02,A,2.52,NNO,,,0.91,0.05,A,0.09,0.05,CALC,F,,,,,89.45,50.44158748,2.660704304,triangle-right,#0173b2,Y,Y,Y,N,,ShishkinaIdealMixing,6136.74061,231.8286461,0.649013346,0.020809135,0.350986654,0.020809135
Shishkina et al. (2010) Chem Geol,10.1016/j.chemgeo.2010.07.014,Basalt,"Mutnovsky, Kamchatka",Natural,KFT,ND,IHPV,M22,1250,3,A,5000,50,A,8.81,0.16,A,0,0,A,44.85,0.18,A,16.13,0.23,A,2.14,0.24,A,6.07,0.24,A,10.13,0.22,A,0.87,0.03,A,8.35,0.27,A,0.17,0.12,A,0.24,0.05,A,,,ND,,,,2.6,NNO,,,1,0.06,A,0,0.06,CALC,F,,,,,88.95,50.42158516,2.675660483,triangle-right,#0173b2,Y,Y,Y,N,,ShishkinaIdealMixing,5043.315003,156.4972795,1,0,0,0
Shishkina et al. (2010) Chem Geol,10.1016/j.chemgeo.2010.07.014,Basalt,"Mutnovsky, Kamchatka",Natural,KFT,FTIR,IHPV,M42,1250,3,A,5000,50,A,1.33,0.11,A,3318,276,A,48.64,0.39,A,17.53,0.24,A,2.36,0.14,A,6.75,0.21,A,10.89,0.36,A,0.9,0.06,A,8.5,0.49,A,0.15,0.08,A,0.22,0.02,A,,,ND,0.25,0.02,A,0.55,NNO,,,0.07,0.03,A,0.93,0.03,CALC,F,,,,,95.94,50.69835314,2.689180738,triangle-right,#0173b2,Y,Y,Y,N,,ShishkinaIdealMixing,5933.115347,480.8555804,0.019456003,0.008326809,0.980543997,0.008326809
Shishkina et al. (2010) Chem Geol,10.1016/j.chemgeo.2010.07.014,Basalt,"Mutnovsky, Kamchatka",Natural,KFT,FTIR,IHPV,M43,1250,3,A,5000,50,A,2.62,0.11,A,3172,265,A,47.46,0.4,A,17.21,0.18,A,2.17,0.2,A,6.65,0.19,A,10.59,0.39,A,0.88,0.04,A,8.82,0.28,A,0.22,0.05,A,0.23,0.04,A,,,ND,0.33,0.02,A,1.24,NNO,,,0.16,0.04,A,0.84,0.04,CALC,F,,,,,94.23,50.36612544,2.546959567,triangle-right,#0173b2,Y,Y,Y,N,,ShishkinaIdealMixing,6336.640708,475.0968588,0.115493406,0.010892756,0.884506594,0.010892756
Shishkina et al. (2010) Chem Geol,10.1016/j.chemgeo.2010.07.014,Basalt,"Mutnovsky, Kamchatka",Natural,KFT,FTIR,IHPV,M44,1250,3,A,5000,50,A,4,0.12,A,3029,244,A,46.75,0.41,A,16.92,0.22,A,2.29,0.19,A,6.54,0.14,A,10.6,0.29,A,0.87,0.05,A,8.64,0.45,A,0.16,0.05,A,0.23,0.02,A,,,ND,0.37,0.02,A,1.65,NNO,,,0.27,0.05,A,0.73,0.05,CALC,F,,,,,93,50.2688172,2.709677419,triangle-right,#0173b2,Y,Y,Y,N,,ShishkinaIdealMixing,6707.641046,434.0712604,0.219327636,0.016658659,0.780672364,0.016658659
Shishkina et al. (2010) Chem Geol,10.1016/j.chemgeo.2010.07.014,Basalt,"Mutnovsky, Kamchatka",Natural,KFT,FTIR,IHPV,M46,1250,3,A,5000,50,A,6.69,0.12,A,2189,181,A,45.69,0.36,A,16.39,0.35,A,2.17,0.21,A,6.32,0.17,A,10.12,0.17,A,0.85,0.03,A,8.45,0.42,A,0.18,0.07,A,0.21,0.04,A,,,ND,0.43,0.02,A,2.39,NNO,,,0.76,0.05,A,0.24,0.05,CALC,F,,,,,90.38,50.55321974,2.633325957,triangle-right,#0173b2,Y,Y,Y,N,,ShishkinaIdealMixing,7352.171122,351.9542699,0.448281277,0.020092156,0.551718723,0.020092156
Allison et al. (2019),10.1007/s00410-019-1592-4,Basalt,Stromboli,Synthetic,FTIR,FTIR,PC,ST-3,1200,10,A,4270,100,A,2.33,0.03,A,3568,30,A,50.03,0.06,A,16.74,0.05,A,2.46,0.04,A,8.03,0.04,A,12.74,0.09,A,0.82,0.02,A,6.56,0.04,A,0.2,0.02,A,1.99,0.03,A,0.41,0.02,A,,,,,,,,0.164,0.05,A,0.836,0.05,CALC,F,,,,,99.98,50.040008,4.450890178,diamond-wide,#0173b2,N,N,N,N,,ShishkinaIdealMixing,5049.229255,59.83995608,0.110349461,0.002685204,0.889650539,0.002685204
Allison et al. (2019),10.1007/s00410-019-1592-4,Phonotephrite,Erebus,Synthetic,FTIR,FTIR,PC,Z-31,1200,10,A,4078,100,A,2.52,0.05,A,3368,67,A,48.38,0.17,A,19.27,0.13,A,6.16,0.05,A,3.19,0.06,A,6.93,0.07,A,2.81,0.03,A,8.92,0.06,A,0.25,0.02,A,2.89,0.01,A,1.19,0.02,A,,,,,,,,0.112,0.05,A,0.888,0.05,CALC,F,,,,,99.99,48.38483848,9.050905091,diamond,#fbafe4,N,N,N,N,,ShishkinaIdealMixing,5975.543559,112.2627244,0.095250949,0.00340325,0.904749051,0.00340325
Allison et al. (2019),10.1007/s00410-019-1592-4,Trachybasalt,Etna,Natural,FTIR,FTIR,PC,Et-8,1200,10,A,4041,100,A,2.68,0.02,A,3996,37,A,48.77,0.09,A,16.98,0.13,A,3.65,0.06,A,6.33,0.05,A,11.26,0.12,A,1.79,0.01,A,8.7,0.14,A,0.18,0.02,A,1.79,0.03,A,0.53,0.01,A,,,,,,,,0.222,0.05,A,0.778,0.05,CALC,F,,,,,99.98,48.77975595,5.441088218,circle,#56b4e9,N,N,N,N,,ShishkinaIdealMixing,5700.562333,86.60392493,0.122381348,0.002227271,0.877618652,0.002227271
Allison et al. (2019),10.1007/s00410-019-1592-4,Trachybasalt,Etna,Natural,FTIR,FTIR,PC,Z-22,1200,10,A,4194,100,A,3.35,0.02,A,4426,180,A,48.8,0.24,A,17.37,0.05,A,3.75,0.06,A,6.41,0.05,A,11.42,0.08,A,1.69,0.01,A,8.52,0.18,A,0.18,0.05,A,1.87,0.02,A,0.52,0.03,A,,,,,,,,0.209,0.05,A,0.791,0.05,CALC,F,,,,,100.53,48.54272357,5.590371034,circle,#56b4e9,N,N,N,N,,ShishkinaIdealMixing,6400.271224,208.8812804,0.158865187,0.005319239,0.841134813,0.005319239
Allison et al. (2019),10.1007/s00410-019-1592-4,Basaltic andesite,San Francisco Volcanic Field,Natural,FTIR,FTIR,PC,SU-7,1200,10,A,4133,100,A,5.27,0.02,A,2040,17,A,53.5,0.21,A,16.75,0.11,A,3.22,0.06,A,6.42,0.09,A,9.32,0.03,A,1.14,0.01,A,7.58,0.05,A,0.17,0.03,A,1.35,0,A,0.74,0.03,A,,,,,,,,0.441,0.05,A,0.559,0.05,CALC,F,,,,,100.19,53.39854277,4.561333466,cross,#de8f05,N,N,N,N,,ShishkinaIdealMixing,6324.706401,55.24262704,0.338826454,0.002968024,0.661173546,0.002968024
Allison et al. (2019),10.1007/s00410-019-1592-4,Basaltic andesite,San Francisco Volcanic Field,Natural,FTIR,FTIR,PC,SU-1,1200,10,A,4255,100,A,2.39,0.02,A,3049,60,A,52.63,0.19,A,17.17,0.07,A,3.3,0.02,A,6.34,0.03,A,9.44,0.03,A,1.16,0.01,A,7.55,0.13,A,0.19,0.02,A,1.41,0.01,A,0.79,0.03,A,,,,,,,,0.115,0.05,A,0.885,0.05,CALC,F,,,,,99.98,52.64052811,4.710942188,cross,#de8f05,N,N,N,N,,ShishkinaIdealMixing,6339.98811,111.4735962,0.090940029,0.002013767,0.909059971,0.002013767
Allison et al. (2019),10.1007/s00410-019-1592-4,Basalt,Sunset Crater,Natural,FTIR,FTIR,PC,Z-32,1200,10,A,4071,100,A,2.61,0.01,A,3176,56,A,48.21,0.07,A,16.44,0.04,A,3.46,0.05,A,8.58,0.06,A,10.06,0.02,A,1.86,0.01,A,9.92,0.04,A,0.18,0.02,A,0.82,0.01,A,0.47,0.03,A,,,,,,,,0.185,0.05,A,0.815,0.05,CALC,F,,,,,100,48.21,4.28,star-square,#0173b2,N,N,N,N,,ShishkinaIdealMixing,4906.974559,71.10806598,0.139475903,0.002150336,0.860524097,0.002150336
Allison et al. (2019),10.1007/s00410-019-1592-4,Phonotephrite,Vesuvius,Synthetic,FTIR,FTIR,PC,VS-1,1200,10,A,4127,100,A,3.43,0.02,A,4963,53,A,49.2,0.1,A,15.5,0.06,A,1.94,0.07,A,6.79,0.06,A,11.77,0.1,A,0.98,0.02,A,7.01,0.06,A,0.22,0.02,A,5.93,0.07,A,0.64,0.03,A,,,,,,,,0.229,0.05,A,0.771,0.05,CALC,T,,,,,99.98,49.20984197,7.871574315,x,#fbafe4,N,N,N,N,,ShishkinaIdealMixing,5826.910796,83.94400952,0.175389434,0.002735297,0.824610566,0.002735297
Fanara et al. (2015),10.2138/am-2015-5033,Basalt,"Campi Flegrei, Italy",Synthetic,KFT,ND,IPHPV,TB-1.1,1200,10,A,1000,50,A,3.49,0.07,A,0,0,A,49.03,0.45,A,16.1,0.55,A,2.85,0.19,A,8.5,0.34,A,12.13,0.48,A,1.28,0.12,A,8.71,0.61,A,,,ND,1.56,0.06,A,,,ND,,,ND,,,,,1,,NR,0,,CALC,F,100.16,48.95167732,4.402955272,circle,#0173b2,N,N,N,N,ShishkinaIdealMixing,1129.192749,37.07350171,1,0,0,0,,,,,
