Reference,doi,Composition,Location,Material,H2O technique,CO2 technique,Experimental apparatus,Sample,T_C,T_C sd,T_C sd type,P_bar,P_bar sd,P_bar sd type,H2O_wt%,H2O_wt% sd,H2O_wt% sd type,CO2_ppm,CO2_ppm sd,CO2_ppm sd type,SiO2_wt%,SiO2_wt% sd,SiO2_wt% sd type,Al2O3_wt%,Al2O3_wt% sd,Al2O3_wt% sd type,Na2O_wt%,Na2O_wt% sd,Na2O_wt% sd type,MgO_wt%,MgO_wt% sd,MgO_wt% sd type,CaO_wt%,CaO_wt% sd,CaO_wt% sd type,TiO2_wt%,TiO2_wt% sd,TiO2_wt% sd type,FeOT_wt%,FeOT_wt% sd,FeOT_wt% sd type,MnO_wt%,MnO_wt% sd,MnO_wt% sd type,K2O_wt%,K2O_wt% sd,K2O_wt% sd type,P2O5_wt%,P2O5_wt% sd,P2O5_wt% sd type,Fe3_FeT,Fe3_FeT sd,Fe3_FeT sd type,fO2,fO2 unit,fO2 sd,fO2 sd type,XH2Of,XH2Of sd,XH2Of sd type,XCO2f,XCO2f sd,XCO2f sd type,Fit_or_test,volatile-free analytical total,SiO2_n,TA_n,Symbol,Colour,calib_MagmaSat,calib_ShishkinaIdealMixing,calib_IaconoMarziano,calib_Liu,calib_Dixon,model,P_bar model,P_bar sd model,xgH2O model,xgH2O sd model,xgCO2 model,xgCO2 sd model
Botcharnikov et al. (2006) Chem. Geol. 229(1-3):125-143,10.1016/j.chemgeo.2006.01.016,Andesite,"Unzen, Japan",Synthetic,FTIR,FTIR,IHPV,A100,1100,5,A,5000,50,A,3.1,0.06,A,4450,460,A,57.44,,NR,17.53,,NR,3.32,,NR,4.31,,NR,7.42,,NR,1.06,,NR,7.2,,NR,0.12,,NR,1.61,,NR,,,ND,,,ND,[+1.5 to +4],DFMQ,,,0.22,0.2,A,0.78,0.2,CALC,F,100.01,57.43425657,4.929507049,diamond,#029e73,Y,N,Y,N,N,MagmaSat,7113.6,551.3061076,0.212907886,0.012636796,0.787092114,0.012636796
Botcharnikov et al. (2006) Chem. Geol. 229(1-3):125-143,10.1016/j.chemgeo.2006.01.016,Andesite,"Unzen, Japan",Synthetic,FTIR,FTIR,IHPV,A160,1100,5,A,5000,50,A,9.98,0.11,A,0,,NR,57.44,,NR,17.53,,NR,3.32,,NR,4.31,,NR,7.42,,NR,1.06,,NR,7.2,,NR,0.12,,NR,1.61,,NR,,,ND,,,ND,[+1.5 to +4],DFMQ,,,1,0,A,0,0,CALC,F,100.01,57.43425657,4.929507049,diamond,#029e73,Y,N,Y,N,N,MagmaSat,5330,89.67956424,1,0,0,0
Botcharnikov et al. (2006) Chem. Geol. 229(1-3):125-143,10.1016/j.chemgeo.2006.01.016,Andesite,"Unzen, Japan",Synthetic,FTIR,FTIR,IHPV,A1,1100,5,A,2000,50,A,5.48,0.1,A,0,,NR,57.44,,NR,17.53,,NR,3.32,,NR,4.31,,NR,7.42,,NR,1.06,,NR,7.2,,NR,0.12,,NR,1.61,,NR,,,ND,,,ND,[+1.5 to +4],DFMQ,,,1,0,A,0,0,CALC,F,100.01,57.43425657,4.929507049,diamond,#029e73,Y,N,Y,N,N,MagmaSat,2034.6,65.75774333,1,0,0,0
Botcharnikov et al. (2007) EJM 19(5):671-680,10.1127/0935-1221/2007/0019-1752,Andesite,"Unzen, Japan",Synthetic,KFT,FTIR,IHPV,ClC148,1200,5,A,2000,50,A,5.24,0.13,A,407,81,A,54.33,0.52,A,16.61,0.27,A,3.17,0.26,A,4.11,0.12,A,6.98,0.27,A,1.01,0.07,A,7.18,0.36,A,0.11,0.12,A,1.55,0.11,A,,,ND,,,ND,[+2 to +4],DFMQ,,,0.836,0.044,A,0.143,0.006,A,F,95.05,57.15938979,4.96580747,diamond,#029e73,N,N,N,N,N,MagmaSat,2551,146.7871406,0.847674643,0.027220388,0.152325357,0.027220388
Botcharnikov et al. (2007) EJM 19(5):671-680,10.1127/0935-1221/2007/0019-1752,Andesite,"Unzen, Japan",Synthetic,KFT,FTIR,IHPV,ClC149,1200,5,A,2000,50,A,4.92,0.1,A,360,91,A,54.03,0.48,A,16.62,0.27,A,3.2,0.29,A,4.1,0.12,A,7,0.18,A,1,0.07,A,6.89,0.49,A,0.1,0.11,A,1.56,0.13,A,,,ND,,,ND,[+2 to +4],DFMQ,,,0.843,0.032,A,0.141,0.005,A,T,94.5,57.17460317,5.037037037,diamond,#029e73,N,N,N,N,N,MagmaSat,2312.4,132.9245248,0.840465979,0.033651655,0.159534021,0.033651655
Botcharnikov et al. (2007) EJM 19(5):671-680,10.1127/0935-1221/2007/0019-1752,Andesite,"Unzen, Japan",Synthetic,KFT,FTIR,IHPV,ClC150,1200,5,A,2000,50,A,5.06,0.08,A,317,86,A,54.3,0.69,A,16.55,0.24,A,3.16,0.32,A,4.11,0.17,A,7,0.28,A,0.98,0.08,A,6.87,0.5,A,0.09,0.12,A,1.54,0.1,A,,,ND,,,ND,[+2 to +4],DFMQ,,,0.841,0.029,A,0.144,0.005,A,F,94.6,57.39957717,4.968287526,diamond,#029e73,N,N,N,N,N,MagmaSat,2299.2,131.1617091,0.869369726,0.027930744,0.130630274,0.027930744
Botcharnikov et al. (2007) EJM 19(5):671-680,10.1127/0935-1221/2007/0019-1752,Andesite,"Unzen, Japan",Synthetic,KFT,FTIR,IHPV,ClC151,1200,5,A,2000,50,A,5.14,0.1,A,361,92,A,54.5,0.43,A,16.75,0.3,A,3.18,0.24,A,4.16,0.18,A,6.97,0.3,A,1.04,0.06,A,7.13,0.44,A,0.12,0.06,A,1.53,0.11,A,,,ND,,,ND,[+2 to +4],DFMQ,,,0.845,0.029,A,0.154,0.005,A,T,95.38,57.13986161,4.938142168,diamond,#029e73,Y,N,N,N,N,MagmaSat,2418.3,146.1012172,0.860188429,0.033283285,0.139811571,0.033283285
Botcharnikov et al. (2007) EJM 19(5):671-680,10.1127/0935-1221/2007/0019-1752,Andesite,"Unzen, Japan",Synthetic,KFT,FTIR,IHPV,ClC152,1200,5,A,2000,50,A,4.92,0.11,A,380,116,A,54.78,0.49,A,16.72,0.3,A,3.16,0.23,A,4.11,0.22,A,7.08,0.3,A,1.01,0.08,A,6.86,0.49,A,0.12,0.12,A,1.53,0.1,A,,,ND,,,ND,[+2 to +4],DFMQ,,,0.863,0.032,A,0.134,0.004,A,F,95.37,57.43944637,4.917689001,diamond,#029e73,Y,N,N,N,N,MagmaSat,2367.8,163.8154912,0.822867932,0.035371036,0.177132068,0.035371036
Botcharnikov et al. (2007) EJM 19(5):671-680,10.1127/0935-1221/2007/0019-1752,Andesite,"Unzen, Japan",Synthetic,KFT,FTIR,IHPV,ClC153,1200,5,A,2000,50,A,4.9,0.09,A,459,119,A,54.44,0.46,A,16.6,0.31,A,3.19,0.37,A,4.15,0.16,A,7.06,0.31,A,0.99,0.05,A,6.95,0.4,A,0.07,0.12,A,1.54,0.08,A,,,ND,,,ND,[+2 to +4],DFMQ,,,0.857,0.028,A,0.137,0.004,A,F,94.99,57.31129593,4.979471523,diamond,#029e73,Y,N,N,N,N,MagmaSat,2435.9,179.0327265,0.80922341,0.038994936,0.19077659,0.038994936
Botcharnikov et al. (2007) EJM 19(5):671-680,10.1127/0935-1221/2007/0019-1752,Andesite,"Unzen, Japan",Synthetic,KFT,FTIR,IHPV,ClC1171,1200,5,A,2000,50,A,5.24,0.09,A,521,89,A,54.38,0.51,A,16.44,0.23,A,3.03,0.23,A,4.01,0.17,A,7.11,0.28,A,0.95,0.05,A,7.32,0.17,A,0.05,0.08,A,1.52,0.06,A,,,ND,,,ND,[+2 to +4],DFMQ,,,0.763,0.037,A,0.198,0.007,A,F,94.81,57.3568189,4.799071828,diamond,#029e73,N,N,N,N,N,MagmaSat,2689.5,123.5205377,0.817204836,0.023027316,0.182795164,0.023027316
Botcharnikov et al. (2007) EJM 19(5):671-680,10.1127/0935-1221/2007/0019-1752,Andesite,"Unzen, Japan",Synthetic,KFT,FTIR,IHPV,ClC1172,1200,5,A,2000,50,A,5.13,0.1,A,569,121,A,54.82,0.22,A,16.43,0.2,A,3.18,0.17,A,3.95,0.13,A,7.2,0.28,A,0.93,0.04,A,7,0.22,A,0.05,0.09,A,1.53,0.07,A,,,ND,,,ND,[+2 to +4],DFMQ,,,0.785,0.034,A,0.192,0.006,A,F,95.09,57.65064676,4.953202229,diamond,#029e73,N,N,N,N,N,MagmaSat,2697.5,174.641769,0.790075715,0.031777281,0.209924285,0.031777281
Botcharnikov et al. (2007) EJM 19(5):671-680,10.1127/0935-1221/2007/0019-1752,Andesite,"Unzen, Japan",Synthetic,KFT,FTIR,IHPV,Cl130,1200,5,A,2000,50,A,5.95,0.1,A,0,,NR,54.65,0.33,A,16.46,0.26,A,3.09,0.17,A,4.01,0.22,A,6.95,0.25,A,0.98,0.06,A,6.9,0.48,A,0.08,0.1,A,1.6,0.05,A,,,ND,,,ND,[+2 to +4],DFMQ,,,0.997,0.052,A,0,0,A,F,94.72,57.69636824,4.951435811,diamond,#029e73,Y,N,N,N,N,MagmaSat,2403.7,66.93363214,1,0,0,0
Botcharnikov et al. (2007) EJM 19(5):671-680,10.1127/0935-1221/2007/0019-1752,Andesite,"Unzen, Japan",Synthetic,KFT,FTIR,IHPV,Cl131,1200,5,A,2000,50,A,5.76,0.1,A,0,,NR,54,0.58,A,16.31,0.12,A,3.09,0.17,A,3.98,0.13,A,6.74,0.35,A,0.97,0.06,A,6.64,0.28,A,0.06,0.11,A,1.59,0.08,A,,,ND,,,ND,[+2 to +4],DFMQ,,,0.983,0.057,A,0,0,A,F,93.38,57.82822874,5.011779824,diamond,#029e73,N,N,N,N,N,MagmaSat,2273.5,75.92360594,1,0,0,0
Botcharnikov et al. (2007) EJM 19(5):671-680,10.1127/0935-1221/2007/0019-1752,Andesite,"Unzen, Japan",Synthetic,KFT,FTIR,IHPV,Cl239,1200,5,A,2000,50,A,5.54,0.08,A,0,,NR,53.62,0.56,A,16.35,0.24,A,3.16,0.25,A,4.1,0.14,A,6.93,0.3,A,0.91,0.08,A,6.82,0.3,A,0.13,0.07,A,1.55,0.12,A,,,ND,,,ND,[+2 to +4],DFMQ,,,0.942,0.053,A,0,0,A,F,93.57,57.30469167,5.033664636,diamond,#029e73,N,N,N,N,N,MagmaSat,2144.5,54.29762723,1,0,0,0
Botcharnikov et al. (2007) EJM 19(5):671-680,10.1127/0935-1221/2007/0019-1752,Andesite,"Unzen, Japan",Synthetic,KFT,FTIR,IHPV,Cl84,1085,5,A,2000,50,A,5.88,0.1,A,0,,NR,53.6,0.26,A,16.18,0.13,A,3.03,0.16,A,4,0.08,A,7,0.16,A,0.96,0.03,A,6.95,0.2,A,0.1,0.03,A,1.55,0.05,A,,,ND,,,ND,[+2 to +4],DFMQ,,,0.996,0.048,A,0,0,A,F,93.37,57.40601906,4.905215808,diamond,#029e73,Y,N,N,N,N,MagmaSat,2264,67.67420469,1,0,0,0
Botcharnikov et al. (2007) EJM 19(5):671-680,10.1127/0935-1221/2007/0019-1752,Andesite,"Unzen, Japan",Synthetic,KFT,FTIR,IHPV,Cl85,1085,5,A,2000,50,A,5.99,0.1,A,0,,NR,53.58,0.2,A,16.09,0.12,A,3,0.12,A,3.94,0.08,A,7,0.14,A,0.97,0.04,A,7.06,0.32,A,0.11,0.04,A,1.54,0.08,A,,,ND,,,ND,[+2 to +4],DFMQ,,,0.991,0.053,A,0,0,A,F,93.29,57.43380855,4.866545182,diamond,#029e73,Y,N,N,N,N,MagmaSat,2331.8,63.34736687,1,0,0,0
