Reference,doi,Composition,Location,Material,H2O technique,CO2 technique,Experimental apparatus,Sample,T_C,T_C sd,T_C sd type,P_bar,P_bar sd,P_bar sd type,H2O_wt%,H2O_wt% sd,H2O_wt% sd type,CO2_ppm,CO2_ppm sd,CO2_ppm sd type,SiO2_wt%,SiO2_wt% sd,SiO2_wt% sd type,Al2O3_wt%,Al2O3_wt% sd,Al2O3_wt% sd type,Na2O_wt%,Na2O_wt% sd,Na2O_wt% sd type,MgO_wt%,MgO_wt% sd,MgO_wt% sd type,CaO_wt%,CaO_wt% sd,CaO_wt% sd type,TiO2_wt%,TiO2_wt% sd,TiO2_wt% sd type,FeOT_wt%,FeOT_wt% sd,FeOT_wt% sd type,MnO_wt%,MnO_wt% sd,MnO_wt% sd type,K2O_wt%,K2O_wt% sd,K2O_wt% sd type,P2O5_wt%,P2O5_wt% sd,P2O5_wt% sd type,Fe3_FeT,Fe3_FeT sd,Fe3_FeT sd type,fO2,fO2 unit,fO2 sd,fO2 sd type,XH2Of,XH2Of sd,XH2Of sd type,XCO2f,XCO2f sd,XCO2f sd type,Fit_or_test,Unnamed: 65,Unnamed: 66,Unnamed: 67,Unnamed: 68,volatile-free analytical total,SiO2_n,TA_n,Symbol,Colour,calib_MagmaSat,calib_ShishkinaIdealMixing,calib_IaconoMarziano,calib_Liu,calib_Solwcad,model option,P_bar model,P_bar sd model,xgH2O model,xgH2O sd model,xgCO2 model,xgCO2 sd model
Riker et al. (2015) ,10.1007/s00410-015-1160-5,Rhyolite,Mount St. Helens,Synthetic,SIMS,SIMS,EHCS,PSB49,885,3,A,2000,10,A,5.53,0.19,A,318,18,A,73,0.44,A,15.22,0.19,A,4.82,0.41,A,0.65,0.06,A,2.27,0.08,A,0.25,0.03,A,1.49,0.08,A,0.07,0.05,A,2.11,0.09,A,0.11,0.02,A,,,,3.4,DNNO,NR,,,,ND,,,ND,F,,,,,99.99,73.00730073,6.930693069,diamond,#cc78bc,N,N,N,N,,Liu,2423.030282,109.8399593,0.807481127,0.014002015,0.192518873,0.014002015
Riker et al. (2015) ,10.1007/s00410-015-1160-5,Rhyolite,Mount St. Helens,Synthetic,SIMS,SIMS,EHCS,PSB50,885,3,A,2000,10,A,5.48,0.15,A,573,36,A,73.95,0.3,A,14.43,0.18,A,4.72,0.18,A,0.67,0.14,A,1.99,0.04,A,0.3,0.03,A,1.48,0.12,A,0.07,0.05,A,2.26,0.11,A,0.1,0.03,A,,,,2.7,DNNO,NR,,,,ND,,,ND,T,,,,,99.97,73.97219166,6.982094628,diamond,#cc78bc,N,N,N,N,,Liu,2860.826888,103.9649934,0.708435551,0.016209786,0.291564449,0.016209786
Riker et al. (2015) ,10.1007/s00410-015-1160-5,Rhyolite,Mount St. Helens,Synthetic,SIMS,SIMS,EHCS,PSB51,885,3,A,2000,10,A,4.71,0.42,A,724,10,A,75.09,0.33,A,13.76,0.17,A,4.63,0.31,A,0.58,0.08,A,1.63,0.06,A,0.32,0.03,A,1.46,0.23,A,0.05,0.06,A,2.37,0.12,A,0.1,0.02,A,,,,,,ND,,,,ND,,,ND,F,,,,,99.99,75.09750975,7.00070007,diamond,#cc78bc,N,N,N,N,,Liu,2727.390431,212.6890492,0.591198133,0.042236761,0.408801867,0.042236761
Riker et al. (2015) ,10.1007/s00410-015-1160-5,Rhyolite,Mount St. Helens,Synthetic,SIMS,SIMS,EHCS,PSB52,885,3,A,1500,10,A,5.33,0.26,A,201,23,A,76.02,0.47,A,13.53,0.15,A,4.65,0.45,A,0.56,0.17,A,1.38,0.04,A,0.2,0.03,A,1.09,0.15,A,0.06,0.06,A,2.41,0.15,A,0.09,0.03,A,,,,3.1,DNNO,NR,,,,ND,,,ND,F,,,,,99.99,76.02760276,7.060706071,diamond,#cc78bc,N,N,N,N,,Liu,2102.591828,143.271927,0.856596108,0.018051836,0.143403892,0.018051836
Riker et al. (2015) ,10.1007/s00410-015-1160-5,Rhyolite,Mount St. Helens,Synthetic,SIMS,SIMS,EHCS,PSB53,885,3,A,1500,10,A,4.46,0.11,A,306,12,A,77.21,0.31,A,12.87,0.14,A,4.12,0.29,A,0.54,0.23,A,1.21,0.04,A,0.2,0.02,A,1.05,0.08,A,0.05,0.05,A,2.69,0.09,A,0.06,0.03,A,,,,2.9,DNNO,NR,,,,ND,,,ND,T,,,,,100,77.21,6.81,diamond,#cc78bc,N,N,N,N,,Liu,1849.14361,58.22192694,0.740383066,0.011057988,0.259616934,0.011057988
Riker et al. (2015) ,10.1007/s00410-015-1160-5,Rhyolite,Mount St. Helens,Synthetic,SIMS,SIMS,EHCS,PSB54,885,3,A,1500,10,A,3.72,0.36,A,437,81,A,78.33,0.59,A,12.24,0.33,A,4.02,0.41,A,0.34,0.1,A,1.02,0.14,A,0.21,0.03,A,0.97,0.09,A,0.03,0.04,A,2.77,0.1,A,0.07,0.04,A,,,,2.6,DNNO,NR,,,,ND,,,ND,T,,,,,100,78.33,6.79,diamond,#cc78bc,N,N,N,N,,Liu,1740.267588,222.6644639,0.600029105,0.060467765,0.399970895,0.060467765
Riker et al. (2015) ,10.1007/s00410-015-1160-5,Rhyolite,Mount St. Helens,Synthetic,SIMS,SIMS,EHCS,PSB55,885,3,A,1000,10,A,4.19,0.15,A,118,9,A,75.05,0.27,A,13.49,0.17,A,4.78,0.28,A,0.37,0.03,A,1.47,0.04,A,0.26,0.02,A,1.97,0.08,A,0.04,0.04,A,2.46,0.11,A,0.11,0.02,A,,,,,,ND,,,,ND,,,ND,F,,,,,100,75.05,7.24,diamond,#cc78bc,N,N,N,N,,Liu,1378.763617,74.49170665,0.863250876,0.011626421,0.136749124,0.011626421
Riker et al. (2015) ,10.1007/s00410-015-1160-5,Rhyolite,Mount St. Helens,Synthetic,SIMS,SIMS,EHCS,PSB56,885,3,A,1000,10,A,3.82,0.12,A,197,9,A,75.92,0.29,A,12.95,0.19,A,4.77,0.26,A,0.27,0.05,A,1.23,0.05,A,0.22,0.03,A,1.88,0.11,A,0.05,0.05,A,2.6,0.11,A,0.09,0.03,A,,,,,,ND,,,,ND,,,ND,F,,,,,99.98,75.93518704,7.371474295,diamond,#cc78bc,N,N,N,N,,Liu,1346.931565,58.01835036,0.765665262,0.01269937,0.234334738,0.01269937
Riker et al. (2015) ,10.1007/s00410-015-1160-5,Rhyolite,Mount St. Helens,Synthetic,SIMS,SIMS,EHCS,PSB57,885,3,A,1000,10,A,3.39,0.18,A,258,23,A,76.71,0.37,A,12.6,0.15,A,4.53,0.3,A,0.23,0.12,A,1.1,0.05,A,0.24,0.04,A,1.74,0.08,A,0.04,0.05,A,2.72,0.13,A,0.08,0.04,A,,,,,,ND,,,,ND,,,ND,F,,,,,99.99,76.71767177,7.250725073,diamond,#cc78bc,N,N,N,N,,Liu,1267.828948,86.43238911,0.670223097,0.028511788,0.329776903,0.028511788
Riker et al. (2015) ,10.1007/s00410-015-1160-5,Rhyolite,Mount St. Helens,Synthetic,SIMS,SIMS,EHCS,PSB59,885,3,A,1750,10,A,5.74,0.24,A,248,7,A,74.56,0.41,A,14.08,0.17,A,4.9,0.44,A,0.92,0.23,A,1.67,0.07,A,0.25,0.04,A,1.24,0.19,A,0.08,0.13,A,2.22,0.12,A,0.09,0.04,A,,,,3,DNNO,NR,,,,ND,,,ND,F,,,,,100.01,74.55254475,7.119288071,diamond,#cc78bc,N,N,N,N,,Liu,2424.377392,134.2946213,0.851118968,0.01211423,0.148881032,0.01211423
Riker et al. (2015) ,10.1007/s00410-015-1160-5,Rhyolite,Mount St. Helens,Synthetic,SIMS,SIMS,EHCS,PSB60,885,3,A,1750,10,A,4.68,0.16,A,379,16,A,76.04,0.28,A,13.43,0.12,A,4.49,0.24,A,0.64,0.15,A,1.46,0.05,A,0.29,0.03,A,1.12,0.06,A,0.03,0.02,A,2.42,0.07,A,0.08,0.04,A,,,,2.7,DNNO,NR,,,,ND,,,ND,F,,,,,100,76.04,6.91,diamond,#cc78bc,N,N,N,N,,Liu,2095.273167,82.7557704,0.718882257,0.014672998,0.281117743,0.014672998
Tamic et al. (2001),10.1016/S0009-2541(00)00324-7,Rhyolite,"Erevan Dry Fountain, Armenia",Natural,FTIR,FTIR,CSPV,Ech1,800,10,A,2000,50,A,2.93,0.1,A,950,30,A,77.04,0.77,A,12.76,0.13,A,4.07,0.2,A,0.08,0.01,A,0.58,0.06,A,0.11,0.01,A,0.68,0.07,A,0.07,0.01,A,4.79,0.24,A,,,ND,,,,0,NNO,,NR,0.288,0.019,A,0.692,0.029,A,F,1.41,0.08,1.52,0.06,100.18,76.90157716,8.844080655,circle,#cc78bc,Y,N,N,Y,,Liu,2173.690542,65.3899691,0.305356902,0.014377492,0.694643098,0.014377492
Tamic et al. (2001),10.1016/S0009-2541(00)00324-7,Rhyolite,"Erevan Dry Fountain, Armenia",Natural,FTIR,FTIR,CSPV,Ech7,800,10,A,2000,50,A,3.2,0.1,A,840,40,A,77.04,0.77,A,12.76,0.13,A,4.07,0.2,A,0.08,0.01,A,0.58,0.06,A,0.11,0.01,A,0.68,0.07,A,0.07,0.01,A,4.79,0.24,A,,,ND,,,,0,NNO,,NR,0.355,0.018,A,0.625,0.029,A,F,1.44,0.08,1.76,0.06,100.18,76.90157716,8.844080655,circle,#cc78bc,Y,N,N,Y,,Liu,2106.423326,83.21896442,0.364495886,0.016597496,0.635504114,0.016597496
Tamic et al. (2001),10.1016/S0009-2541(00)00324-7,Rhyolite,"Erevan Dry Fountain, Armenia",Natural,FTIR,FTIR,CSPV,Ech6,800,10,A,2000,50,A,3.81,0.120415946,A,660,40,A,77.04,0.77,A,12.76,0.13,A,4.07,0.2,A,0.08,0.01,A,0.58,0.06,A,0.11,0.01,A,0.68,0.07,A,0.07,0.01,A,4.79,0.24,A,,,ND,,,,0,NNO,,NR,0.482,0.015,A,0.498,0.026,A,F,1.52,0.09,2.29,0.08,100.18,76.90157716,8.844080655,circle,#cc78bc,Y,N,N,Y,,Liu,2075.650653,95.09548227,0.491942733,0.019705714,0.508057267,0.019705714
Tamic et al. (2001),10.1016/S0009-2541(00)00324-7,Rhyolite,"Erevan Dry Fountain, Armenia",Natural,KFT,FTIR,CSPV,Ech2,800,10,A,2000,50,A,3.84,0.07,A,710,30,A,77.04,0.77,A,12.76,0.13,A,4.07,0.2,A,0.08,0.01,A,0.58,0.06,A,0.11,0.01,A,0.68,0.07,A,0.07,0.01,A,4.79,0.24,A,,,ND,,,,0,NNO,,NR,0.496,0.016,A,0.484,0.027,A,F,1.54,0.09,2.4,0.08,100.18,76.90157716,8.844080655,circle,#cc78bc,Y,N,N,Y,,Liu,2183.602028,63.95456904,0.478286085,0.012401013,0.521713915,0.012401013
Tamic et al. (2001),10.1016/S0009-2541(00)00324-7,Rhyolite,"Erevan Dry Fountain, Armenia",Natural,KFT,FTIR,CSPV,Ech8,800,10,A,2000,50,A,3.78,0.07,A,630,30,A,77.04,0.77,A,12.76,0.13,A,4.07,0.2,A,0.08,0.01,A,0.58,0.06,A,0.11,0.01,A,0.68,0.07,A,0.07,0.01,A,4.79,0.24,A,,,ND,,,,0,NNO,,NR,0.571,0.017,A,0.409,0.028,A,F,1.54,0.09,2.59,0.09,100.18,76.90157716,8.844080655,circle,#cc78bc,Y,N,N,Y,,Liu,2011.154504,64.17437609,0.497379791,0.013744008,0.502620209,0.013744008
Tamic et al. (2001),10.1016/S0009-2541(00)00324-7,Rhyolite,"Erevan Dry Fountain, Armenia",Natural,KFT,FTIR,CSPV,Ech9,800,10,A,2000,50,A,4.32,0.07,A,470,30,A,77.04,0.77,A,12.76,0.13,A,4.07,0.2,A,0.08,0.01,A,0.58,0.06,A,0.11,0.01,A,0.68,0.07,A,0.07,0.01,A,4.79,0.24,A,,,ND,,,,0,NNO,,NR,0.658,0.015,A,0.322,0.026,A,F,1.61,0.09,3,0.1,100.18,76.90157716,8.844080655,circle,#cc78bc,Y,N,N,Y,,Liu,1985.322272,67.94010583,0.620549207,0.015624646,0.379450793,0.015624646
Tamic et al. (2001),10.1016/S0009-2541(00)00324-7,Rhyolite,"Erevan Dry Fountain, Armenia",Natural,KFT,FTIR,CSPV,Ech10,800,10,A,2000,50,A,5.01,0.07,A,290,20,A,77.04,0.77,A,12.76,0.13,A,4.07,0.2,A,0.08,0.01,A,0.58,0.06,A,0.11,0.01,A,0.68,0.07,A,0.07,0.01,A,4.79,0.24,A,,,ND,,,,0,NNO,,NR,0.768,0.015,A,0.212,0.026,A,F,1.62,0.09,3.4,0.11,100.18,76.90157716,8.844080655,circle,#cc78bc,Y,N,N,Y,,Liu,2014.366666,56.10082836,0.770302076,0.012920144,0.229697924,0.012920144
Tamic et al. (2001),10.1016/S0009-2541(00)00324-7,Rhyolite,"Erevan Dry Fountain, Armenia",Natural,KFT,ND,CSPV,Ech3,800,10,A,2000,50,A,6.12,0.07,A,0,0,A,77.04,0.77,A,12.76,0.13,A,4.07,0.2,A,0.08,0.01,A,0.58,0.06,A,0.11,0.01,A,0.68,0.07,A,0.07,0.01,A,4.79,0.24,A,,,ND,,,,0,NNO,,NR,1,0.01,A,0,0.022,A,F,1.6,0.09,4.31,0.14,100.18,76.90157716,8.844080655,circle,#cc78bc,Y,N,N,Y,,Liu,2083.405959,44.25874674,1,6.38E-16,0,0
Tamic et al. (2001),10.1016/S0009-2541(00)00324-7,Rhyolite,"Erevan Dry Fountain, Armenia",Natural,KFT,ND,CSPV,Ech4,800,10,A,2000,50,A,6.1,0.07,A,0,0,A,77.04,0.77,A,12.76,0.13,A,4.07,0.2,A,0.08,0.01,A,0.58,0.06,A,0.11,0.01,A,0.68,0.07,A,0.07,0.01,A,4.79,0.24,A,,,ND,,,,0,NNO,,NR,1,0.2,A,0,,NR,F,1.66,0.09,4.31,0.14,100.18,76.90157716,8.844080655,circle,#cc78bc,Y,N,N,Y,,Liu,2073.364924,44.90552196,1,6.70E-16,0,0
Tamic et al. (2001),10.1016/S0009-2541(00)00324-7,Rhyolite,"Erevan Dry Fountain, Armenia",Natural,FTIR,FTIR,IHPV,Ech66,1100,10,A,2000,50,A,0.54,0.036055513,A,1050,140,A,77.04,0.77,A,12.76,0.13,A,4.07,0.2,A,0.08,0.01,A,0.58,0.06,A,0.11,0.01,A,0.68,0.07,A,0.07,0.01,A,4.79,0.24,A,,,ND,,,,,,,,0.021,0.035,A,0.959,0.043,A,F,0.49,0.03,0.05,0.02,100.18,76.90157716,8.844080655,circle,#cc78bc,Y,N,N,Y,,Liu,2205.316203,272.8012189,0.022429925,0.003736332,0.977570075,0.003736332
Tamic et al. (2001),10.1016/S0009-2541(00)00324-7,Rhyolite,"Erevan Dry Fountain, Armenia",Natural,FTIR,FTIR,IHPV,Ech65,1100,10,A,2000,50,A,1.41,0.053851648,A,1060,90,A,77.04,0.77,A,12.76,0.13,A,4.07,0.2,A,0.08,0.01,A,0.58,0.06,A,0.11,0.01,A,0.68,0.07,A,0.07,0.01,A,4.79,0.24,A,,,ND,,,,,,,,0.102,0.032,A,0.878,0.04,A,T,0.99,0.05,0.42,0.02,100.18,76.90157716,8.844080655,circle,#cc78bc,Y,N,N,Y,,Liu,2224.744785,161.8404347,0.128321795,0.010967256,0.871678205,0.010967256
Tamic et al. (2001),10.1016/S0009-2541(00)00324-7,Rhyolite,"Erevan Dry Fountain, Armenia",Natural,FTIR,FTIR,IHPV,Ech64,1100,10,A,2000,50,A,2.05,0.076157731,A,1000,70,A,77.04,0.77,A,12.76,0.13,A,4.07,0.2,A,0.08,0.01,A,0.58,0.06,A,0.11,0.01,A,0.68,0.07,A,0.07,0.01,A,4.79,0.24,A,,,ND,,,,,,,,0.206,0.03,A,0.774,0.039,A,T,1.21,0.07,0.84,0.03,100.18,76.90157716,8.844080655,circle,#cc78bc,Y,N,N,Y,,Liu,2266.652914,126.1850452,0.235958631,0.0157307,0.764041369,0.0157307
Tamic et al. (2001),10.1016/S0009-2541(00)00324-7,Rhyolite,"Erevan Dry Fountain, Armenia",Natural,FTIR,FTIR,IHPV,Ech63,1100,10,A,2000,50,A,2.46,0.080622577,A,890,30,A,77.04,0.77,A,12.76,0.13,A,4.07,0.2,A,0.08,0.01,A,0.58,0.06,A,0.11,0.01,A,0.68,0.07,A,0.07,0.01,A,4.79,0.24,A,,,ND,,,,,,,,0.31,0.027,A,0.67,0.036,A,F,1.32,0.07,1.14,0.04,100.18,76.90157716,8.844080655,circle,#cc78bc,Y,N,N,Y,,Liu,2201.72687,62.24104916,0.318616298,0.014365509,0.681383702,0.014365509
Tamic et al. (2001),10.1016/S0009-2541(00)00324-7,Rhyolite,"Erevan Dry Fountain, Armenia",Natural,FTIR,FTIR,IHPV,Ech62,1100,10,A,2000,50,A,2.85,0.1,A,810,40,A,77.04,0.77,A,12.76,0.13,A,4.07,0.2,A,0.08,0.01,A,0.58,0.06,A,0.11,0.01,A,0.68,0.07,A,0.07,0.01,A,4.79,0.24,A,,,ND,,,,,,,,0.41,0.024,A,0.57,0.034,A,T,1.39,0.08,1.46,0.06,100.18,76.90157716,8.844080655,circle,#cc78bc,Y,N,N,Y,,Liu,2204.472979,80.80529836,0.397967734,0.017876251,0.602032266,0.017876251
Tamic et al. (2001),10.1016/S0009-2541(00)00324-7,Rhyolite,"Erevan Dry Fountain, Armenia",Natural,FTIR,FTIR,IHPV,Ech17,1100,10,A,2000,50,A,3.53,0.114017543,A,670,30,A,77.04,0.77,A,12.76,0.13,A,4.07,0.2,A,0.08,0.01,A,0.58,0.06,A,0.11,0.01,A,0.68,0.07,A,0.07,0.01,A,4.79,0.24,A,,,ND,,,,,,,,0.52,0.014,A,0.46,0.026,A,F,1.53,0.09,2,0.07,100.18,76.90157716,8.844080655,circle,#cc78bc,Y,N,N,Y,,Liu,2228.51572,71.89613114,0.532309197,0.017958948,0.467690803,0.017958948
Tamic et al. (2001),10.1016/S0009-2541(00)00324-7,Rhyolite,"Erevan Dry Fountain, Armenia",Natural,KFT,FTIR,IHPV,Ech18,1100,10,A,2000,50,A,3.74,0.07,A,630,30,A,77.04,0.77,A,12.76,0.13,A,4.07,0.2,A,0.08,0.01,A,0.58,0.06,A,0.11,0.01,A,0.68,0.07,A,0.07,0.01,A,4.79,0.24,A,,,ND,,,,,,,,0.613,0.013,A,0.367,0.024,A,F,1.56,0.09,2.31,0.08,100.18,76.90157716,8.844080655,circle,#cc78bc,Y,N,N,Y,,Liu,2249.255674,60.22544889,0.572183433,0.012764508,0.427816567,0.012764508
Tamic et al. (2001),10.1016/S0009-2541(00)00324-7,Rhyolite,"Erevan Dry Fountain, Armenia",Natural,KFT,FTIR,IHPV,Ech19,1100,10,A,2000,50,A,4.14,0.07,A,470,20,A,77.04,0.77,A,12.76,0.13,A,4.07,0.2,A,0.08,0.01,A,0.58,0.06,A,0.11,0.01,A,0.68,0.07,A,0.07,0.01,A,4.79,0.24,A,,,ND,,,,,,,,0.706,0.011,A,0.274,0.023,A,F,1.64,0.09,2.73,0.09,100.18,76.90157716,8.844080655,circle,#cc78bc,Y,N,N,Y,,Liu,2144.688078,45.38123471,0.676074135,0.011135534,0.323925865,0.011135534
Tamic et al. (2001),10.1016/S0009-2541(00)00324-7,Rhyolite,"Erevan Dry Fountain, Armenia",Natural,FTIR,FTIR,IHPV,Ech20,1100,10,A,2000,50,A,4.67,0.13453624,A,400,20,A,77.04,0.77,A,12.76,0.13,A,4.07,0.2,A,0.08,0.01,A,0.58,0.06,A,0.11,0.01,A,0.68,0.07,A,0.07,0.01,A,4.79,0.24,A,,,ND,,,,,,,,0.779,0.011,A,0.201,0.023,A,T,1.67,0.09,3,0.1,100.18,76.90157716,8.844080655,circle,#cc78bc,Y,N,N,Y,,Liu,2269.65407,70.87075598,0.752316679,0.013232157,0.247683321,0.013232157
Tamic et al. (2001),10.1016/S0009-2541(00)00324-7,Rhyolite,"Erevan Dry Fountain, Armenia",Natural,FTIR,ND,IHPV,Ech21,1100,10,A,2000,50,A,5.58,0.158113883,A,0,0,A,77.04,0.77,A,12.76,0.13,A,4.07,0.2,A,0.08,0.01,A,0.58,0.06,A,0.11,0.01,A,0.68,0.07,A,0.07,0.01,A,4.79,0.24,A,,,ND,,,,,,,,1,0.021,A,0,,NR,T,1.73,0.09,3.85,0.13,100.18,76.90157716,8.844080655,circle,#cc78bc,Y,N,N,Y,,Liu,2072.219596,82.44831201,1,6.07E-16,0,0
Tamic et al. (2001),10.1016/S0009-2541(00)00324-7,Rhyolite,"Erevan Dry Fountain, Armenia",Natural,KFT,FTIR,CSPV,Ech37,800,10,A,5000,50,A,5.02,0.07,A,2030,70,A,77.04,0.77,A,12.76,0.13,A,4.07,0.2,A,0.08,0.01,A,0.58,0.06,A,0.11,0.01,A,0.68,0.07,A,0.07,0.01,A,4.79,0.24,A,,,ND,,,,0,NNO,,NR,0.408,0.014,A,0.572,0.026,A,F,1.64,0.09,3.54,0.12,100.18,76.90157716,8.844080655,circle,#cc78bc,Y,N,N,Y,,Liu,5344.925941,142.614044,0.431062163,0.00847727,0.568937837,0.00847727
Tamic et al. (2001),10.1016/S0009-2541(00)00324-7,Rhyolite,"Erevan Dry Fountain, Armenia",Natural,KFT,FTIR,CSPV,Ech38,800,10,A,5000,50,A,5.21,0.07,A,2090,80,A,77.04,0.77,A,12.76,0.13,A,4.07,0.2,A,0.08,0.01,A,0.58,0.06,A,0.11,0.01,A,0.68,0.07,A,0.07,0.01,A,4.79,0.24,A,,,ND,,,,0,NNO,,NR,0.433,0.014,A,0.547,0.026,A,F,1.64,0.09,3.68,0.12,100.18,76.90157716,8.844080655,circle,#cc78bc,Y,N,N,Y,,Liu,5551.930953,157.1083647,0.449199813,0.008553413,0.550800187,0.008553413
Tamic et al. (2001),10.1016/S0009-2541(00)00324-7,Rhyolite,"Erevan Dry Fountain, Armenia",Natural,KFT,FTIR,CSPV,Ech39,800,10,A,5000,50,A,6.47,0.07,A,1660,100,A,77.04,0.77,A,12.76,0.13,A,4.07,0.2,A,0.08,0.01,A,0.58,0.06,A,0.11,0.01,A,0.68,0.07,A,0.07,0.01,A,4.79,0.24,A,,,ND,,,,0,NNO,,NR,0.626,0.014,A,0.354,0.025,A,F,1.65,0.09,4.84,0.16,100.18,76.90157716,8.844080655,circle,#cc78bc,Y,N,N,Y,,Liu,5393.220338,166.1315205,0.601466239,0.009262617,0.398533761,0.009262617
Tamic et al. (2001),10.1016/S0009-2541(00)00324-7,Rhyolite,"Erevan Dry Fountain, Armenia",Natural,KFT,ND,CSPV,EDF (1),800,10,A,5000,50,A,9.84,0.015,A,0,0,A,77.04,0.77,A,12.76,0.13,A,4.07,0.2,A,0.08,0.01,A,0.58,0.06,A,0.11,0.01,A,0.68,0.07,A,0.07,0.01,A,4.79,0.24,A,,,ND,,,,0,NNO,,NR,1,,NR,0,,NR,F,,,,,100.18,76.90157716,8.844080655,circle,#cc78bc,Y,N,N,Y,,Liu,4918.963132,35.75600375,1,3.09E-16,0,0
Tamic et al. (2001),10.1016/S0009-2541(00)00324-7,Rhyolite,"Erevan Dry Fountain, Armenia",Natural,FTIR,FTIR,IHPV,Ech75,1100,10,A,5000,50,A,0.5,0.031622777,A,2750,290,A,77.04,0.77,A,12.76,0.13,A,4.07,0.2,A,0.08,0.01,A,0.58,0.06,A,0.11,0.01,A,0.68,0.07,A,0.07,0.01,A,4.79,0.24,A,,,ND,,,,,,,,0.017,0.026,A,0.963,0.035,A,F,0.45,0.03,0.05,0.01,100.18,76.90157716,8.844080655,circle,#cc78bc,Y,N,N,Y,,Liu,5603.043797,544.8360728,0.011543224,0.001468071,0.988456776,0.001468071
Tamic et al. (2001),10.1016/S0009-2541(00)00324-7,Rhyolite,"Erevan Dry Fountain, Armenia",Natural,FTIR,FTIR,IHPV,Ech74,1100,10,A,5000,50,A,1.14,0.053851648,A,2720,150,A,77.04,0.77,A,12.76,0.13,A,4.07,0.2,A,0.08,0.01,A,0.58,0.06,A,0.11,0.01,A,0.68,0.07,A,0.07,0.01,A,4.79,0.24,A,,,ND,,,,,,,,0.084,0.024,A,0.896,0.034,A,T,0.86,0.05,0.28,0.02,100.18,76.90157716,8.844080655,circle,#cc78bc,Y,N,N,Y,,Liu,5254.407863,270.8830103,0.056480038,0.004828024,0.943519962,0.004828024
Tamic et al. (2001),10.1016/S0009-2541(00)00324-7,Rhyolite,"Erevan Dry Fountain, Armenia",Natural,FTIR,FTIR,IHPV,Ech73,1100,10,A,5000,50,A,1.35,0.053851648,A,2820,220,A,77.04,0.77,A,12.76,0.13,A,4.07,0.2,A,0.08,0.01,A,0.58,0.06,A,0.11,0.01,A,0.68,0.07,A,0.07,0.01,A,4.79,0.24,A,,,ND,,,,,,,,0.107,0.024,A,0.873,0.034,A,F,0.95,0.05,0.4,0.02,100.18,76.90157716,8.844080655,circle,#cc78bc,Y,N,N,Y,,Liu,5422.723528,396.4323542,0.076073778,0.005483945,0.923926222,0.005483945
Tamic et al. (2001),10.1016/S0009-2541(00)00324-7,Rhyolite,"Erevan Dry Fountain, Armenia",Natural,FTIR,FTIR,IHPV,Ech72,1100,10,A,5000,50,A,1.82,0.067082039,A,2530,100,A,77.04,0.77,A,12.76,0.13,A,4.07,0.2,A,0.08,0.01,A,0.58,0.06,A,0.11,0.01,A,0.68,0.07,A,0.07,0.01,A,4.79,0.24,A,,,ND,,,,,,,,0.114,0.024,A,0.866,0.034,A,T,1.13,0.06,0.69,0.03,100.18,76.90157716,8.844080655,circle,#cc78bc,Y,N,N,Y,,Liu,4950.366875,175.8344228,0.127876746,0.008067067,0.872123254,0.008067067
Tamic et al. (2001),10.1016/S0009-2541(00)00324-7,Rhyolite,"Erevan Dry Fountain, Armenia",Natural,FTIR,FTIR,IHPV,Ech59,1100,10,A,5000,50,A,2.45,0.080622577,A,2670,100,A,77.04,0.77,A,12.76,0.13,A,4.07,0.2,A,0.08,0.01,A,0.58,0.06,A,0.11,0.01,A,0.68,0.07,A,0.07,0.01,A,4.79,0.24,A,,,ND,,,,,,,,0.12,0.03,A,0.86,0.039,A,F,1.32,0.07,1.13,0.04,100.18,76.90157716,8.844080655,circle,#cc78bc,Y,N,N,Y,,Liu,5293.111481,165.3454628,0.197866785,0.009619534,0.802133215,0.009619534
Tamic et al. (2001),10.1016/S0009-2541(00)00324-7,Rhyolite,"Erevan Dry Fountain, Armenia",Natural,FTIR,FTIR,IHPV,Ech71,1100,10,A,5000,50,A,2.18,0.076157731,A,2660,130,A,77.04,0.77,A,12.76,0.13,A,4.07,0.2,A,0.08,0.01,A,0.58,0.06,A,0.11,0.01,A,0.68,0.07,A,0.07,0.01,A,4.79,0.24,A,,,ND,,,,,,,,0.122,0.024,A,0.858,0.034,A,F,1.24,0.07,0.94,0.03,100.18,76.90157716,8.844080655,circle,#cc78bc,Y,N,N,Y,,Liu,5246.569113,233.3379426,0.167596747,0.009178181,0.832403253,0.009178181
Tamic et al. (2001),10.1016/S0009-2541(00)00324-7,Rhyolite,"Erevan Dry Fountain, Armenia",Natural,FTIR,FTIR,IHPV,Ech58,1100,10,A,5000,50,A,3.29,0.1,A,2570,130,A,77.04,0.77,A,12.76,0.13,A,4.07,0.2,A,0.08,0.01,A,0.58,0.06,A,0.11,0.01,A,0.68,0.07,A,0.07,0.01,A,4.79,0.24,A,,,ND,,,,,,,,0.245,0.028,A,0.735,0.037,A,F,1.46,0.08,1.83,0.06,100.18,76.90157716,8.844080655,circle,#cc78bc,Y,N,N,Y,,Liu,5290.569838,199.7813578,0.295887053,0.011577586,0.704112947,0.011577586
