Reference,doi,Composition,Location,Material,H2O technique,CO2 technique,Experimental apparatus,Sample,T_C,T_C sd,T_C sd type,P_bar,P_bar sd,P_bar sd type,H2O_wt%,H2O_wt% sd,H2O_wt% sd type,CO2_ppm,CO2_ppm sd,CO2_ppm sd type,SiO2_wt%,SiO2_wt% sd,SiO2_wt% sd type,Al2O3_wt%,Al2O3_wt% sd,Al2O3_wt% sd type,Na2O_wt%,Na2O_wt% sd,Na2O_wt% sd type,MgO_wt%,MgO_wt% sd,MgO_wt% sd type,CaO_wt%,CaO_wt% sd,CaO_wt% sd type,TiO2_wt%,TiO2_wt% sd,TiO2_wt% sd type,FeOT_wt%,FeOT_wt% sd,FeOT_wt% sd type,MnO_wt%,MnO_wt% sd,MnO_wt% sd type,K2O_wt%,K2O_wt% sd,K2O_wt% sd type,P2O5_wt%,P2O5_wt% sd,P2O5_wt% sd type,Fe3_FeT,Fe3_FeT sd,Fe3_FeT sd type,fO2,fO2 unit,fO2 sd,fO2 sd type,XH2Of,XH2Of sd,XH2Of sd type,XCO2f,XCO2f sd,XCO2f sd type,Fit_or_test,Unnamed: 65,Unnamed: 66,Unnamed: 67,Unnamed: 68,volatile-free analytical total,SiO2_n,TA_n,Symbol,Colour,calib_MagmaSat,calib_ShishkinaIdealMixing,calib_IaconoMarziano,calib_Liu,calib_Solwcad,model option,P_bar model,P_bar sd model,xgH2O model,xgH2O sd model,xgCO2 model,xgCO2 sd model
Mangan & Sisson (2000),10.1016/S0012-821X(00)00299-5,Rhyolite,Panum Crater Dome,Natural,FTIR,FTIR,CSPV,#61,900,7,A,750,15,A,2.19,0.05,A,67,4,A,75.64,0.01,R,12.38,0.01,R,4.17,0.01,R,0.03,0.01,R,0.54,0.01,R,0.08,0.01,R,0.94,0.01,R,0.07,0.01,R,4.72,0.01,R,0.01,0.01,R,,,,,,,,,,,,,,F,,,,,98.58,76.72955975,9.018056401,triangle-up,#cc78bc,N,N,N,N,,Liu,503.565504,17.71461828,0.780457054,0.01195895,0.219542946,0.01195895
Mangan & Sisson (2000),10.1016/S0012-821X(00)00299-5,Rhyolite,Panum Crater Dome,Natural,FTIR,FTIR,CSPV,#54,900,7,A,50,15,A,1.85,0.01,A,52,3,A,75.64,0.01,R,12.38,0.01,R,4.17,0.01,R,0.03,0.01,R,0.54,0.01,R,0.08,0.01,R,0.94,0.01,R,0.07,0.01,R,4.72,0.01,R,0.01,0.01,R,,,,,,,,,,,,,,T,,,,,98.58,76.72955975,9.018056401,triangle-up,#cc78bc,N,N,N,N,,Liu,376.6092269,6.766599285,0.77052441,0.010373819,0.22947559,0.010373819
Mangan & Sisson (2000),10.1016/S0012-821X(00)00299-5,Rhyolite,Panum Crater Dome,Natural,FTIR,FTIR,CSPV,#56,900,7,A,25,15,A,1.32,0.12,A,29,1,A,75.64,0.01,R,12.38,0.01,R,4.17,0.01,R,0.03,0.01,R,0.54,0.01,R,0.08,0.01,R,0.94,0.01,R,0.07,0.01,R,4.72,0.01,R,0.01,0.01,R,,,,,,,,,,,,,,F,,,,,98.58,76.72955975,9.018056401,triangle-up,#cc78bc,N,N,N,N,,Liu,207.4567588,25.79887938,0.757206626,0.033023419,0.242793374,0.033023419
Fogel & Rutherford (1990),,Rhyolite,"Valles Caldera, New Mexico",Natural,FTIR,FTIR,TZM,134,950,10,A,1010,50,A,0.1414,0.04,R,597,0.04,R,76.45,0.24,A,12.56,0.13,A,4.21,0.11,A,0.06,0.02,A,0.25,0.06,A,0.08,0.05,A,1.02,0.07,A,0.08,0.07,A,4.78,0.21,A,,,ND,,,,,,,ND,,,ND,,,ND,F,,,,,99.49,76.84189366,9.036084029,cross,#cc78bc,N,N,N,Y,,Liu,1238.710551,51.18497175,0.002066162,0.000177879,0.997933838,0.000177879
Fogel & Rutherford (1990),,Rhyolite,"Valles Caldera, New Mexico",Natural,FTIR,FTIR,TZM,152,950,10,A,1510,50,A,0.1123,0.04,R,950,0.04,R,76.45,0.24,A,12.56,0.13,A,4.21,0.11,A,0.06,0.02,A,0.25,0.06,A,0.08,0.05,A,1.02,0.07,A,0.08,0.07,A,4.78,0.21,A,,,ND,,,,,,,ND,,,ND,,,ND,F,,,,,99.49,76.84189366,9.036084029,cross,#cc78bc,N,N,N,Y,,Liu,1983.410177,83.72031668,0.000870828,7.51E-05,0.999129172,7.51E-05
Fogel & Rutherford (1990),,Rhyolite,"Valles Caldera, New Mexico",Natural,FTIR,FTIR,TZM,130,950,10,A,1993,50,A,0.2608,0.04,R,1433,0.04,R,76.45,0.24,A,12.56,0.13,A,4.21,0.11,A,0.06,0.02,A,0.25,0.06,A,0.08,0.05,A,1.02,0.07,A,0.08,0.07,A,4.78,0.21,A,,,ND,,,,,,,ND,,,ND,,,ND,F,,,,,99.49,76.84189366,9.036084029,cross,#cc78bc,N,N,N,Y,,Liu,2875.066399,115.4567483,0.003426742,0.00029841,0.996573258,0.00029841
Fogel & Rutherford (1990),,Rhyolite,"Valles Caldera, New Mexico",Natural,FTIR,FTIR,TZM,111,1050,10,A,504,50,A,0.113,0.04,R,188,0.04,R,76.45,0.24,A,12.56,0.13,A,4.21,0.11,A,0.06,0.02,A,0.25,0.06,A,0.08,0.05,A,1.02,0.07,A,0.08,0.07,A,4.78,0.21,A,,,ND,,,,,,,ND,,,ND,,,ND,T,,,,,99.49,76.84189366,9.036084029,cross,#cc78bc,N,N,N,Y,,Liu,423.3436771,17.44782009,0.004266049,0.000383878,0.995733951,0.000383878
Fogel & Rutherford (1990),,Rhyolite,"Valles Caldera, New Mexico",Natural,FTIR,FTIR,TZM,123,1050,10,A,1000,50,A,0.1284,0.04,R,491,0.04,R,76.45,0.24,A,12.56,0.13,A,4.21,0.11,A,0.06,0.02,A,0.25,0.06,A,0.08,0.05,A,1.02,0.07,A,0.08,0.07,A,4.78,0.21,A,,,ND,,,,,,,ND,,,ND,,,ND,F,,,,,99.49,76.84189366,9.036084029,cross,#cc78bc,N,N,N,Y,,Liu,1095.178523,44.11606234,0.002246434,0.000204301,0.997753566,0.000204301
Fogel & Rutherford (1990),,Rhyolite,"Valles Caldera, New Mexico",Natural,FTIR,FTIR,TZM,124,1050,10,A,1500,50,A,0.1122,0.04,R,797,0.04,R,76.45,0.24,A,12.56,0.13,A,4.21,0.11,A,0.06,0.02,A,0.25,0.06,A,0.08,0.05,A,1.02,0.07,A,0.08,0.07,A,4.78,0.21,A,,,ND,,,,,,,ND,,,ND,,,ND,F,,,,,99.49,76.84189366,9.036084029,cross,#cc78bc,N,N,N,Y,,Liu,1786.147137,75.92350859,0.001121435,0.000102337,0.998878565,0.000102337
Fogel & Rutherford (1990),,Rhyolite,"Valles Caldera, New Mexico",Natural,FTIR,FTIR,TZM,108,1050,10,A,2025,50,A,0.1349,0.04,R,1221,0.04,R,76.45,0.24,A,12.56,0.13,A,4.21,0.11,A,0.06,0.02,A,0.25,0.06,A,0.08,0.05,A,1.02,0.07,A,0.08,0.07,A,4.78,0.21,A,,,ND,,,,,,,ND,,,ND,,,ND,T,,,,,99.49,76.84189366,9.036084029,cross,#cc78bc,N,N,N,Y,,Liu,2719.520704,109.9779155,0.001156288,0.000104007,0.998843712,0.000104007
Fogel & Rutherford (1990),,Rhyolite,"Valles Caldera, New Mexico",Natural,FTIR,FTIR,TZM,142,1050,10,A,2040,50,A,0.0707,0.04,R,1170,0.04,R,76.45,0.24,A,12.56,0.13,A,4.21,0.11,A,0.06,0.02,A,0.25,0.06,A,0.08,0.05,A,1.02,0.07,A,0.08,0.07,A,4.78,0.21,A,,,ND,,,,,,,ND,,,ND,,,ND,F,,,,,99.49,76.84189366,9.036084029,cross,#cc78bc,N,N,N,Y,,Liu,2654.466188,112.9639198,0.000325145,2.90E-05,0.999674855,2.90E-05
Fogel & Rutherford (1990),,Rhyolite,"Valles Caldera, New Mexico",Natural,FTIR,FTIR,TZM,128,1050,10,A,2490,50,A,0.1845,0.04,R,1547,0.04,R,76.45,0.24,A,12.56,0.13,A,4.21,0.11,A,0.06,0.02,A,0.25,0.06,A,0.08,0.05,A,1.02,0.07,A,0.08,0.07,A,4.78,0.21,A,,,ND,,,,,,,ND,,,ND,,,ND,F,,,,,99.49,76.84189366,9.036084029,cross,#cc78bc,N,N,N,Y,,Liu,3379.945893,134.3070618,0.001842741,0.000161703,0.998157259,0.000161703
Fogel & Rutherford (1990),,Rhyolite,"Valles Caldera, New Mexico",Natural,FTIR,FTIR,IHPV,139,1050,5,A,3529,50,A,0.2231,0.04,R,2015,0.04,R,76.45,0.24,A,12.56,0.13,A,4.21,0.11,A,0.06,0.02,A,0.25,0.06,A,0.08,0.05,A,1.02,0.07,A,0.08,0.07,A,4.78,0.21,A,,,ND,,,,,,,ND,,,ND,,,ND,F,,,,,99.49,76.84189366,9.036084029,cross,#cc78bc,N,N,N,Y,,Liu,4345.787818,165.5114283,0.002319218,0.000197978,0.997680782,0.000197978
Fogel & Rutherford (1990),,Rhyolite,"Valles Caldera, New Mexico",Natural,FTIR,FTIR,IHPV,153,1050,5,A,4324,50,A,0.1877,0.04,R,2607,0.04,R,76.45,0.24,A,12.56,0.13,A,4.21,0.11,A,0.06,0.02,A,0.25,0.06,A,0.08,0.05,A,1.02,0.07,A,0.08,0.07,A,4.78,0.21,A,,,ND,,,,,,,ND,,,ND,,,ND,F,,,,,99.49,76.84189366,9.036084029,cross,#cc78bc,N,N,N,Y,,Liu,5646.361009,227.0373894,0.001458274,0.000123381,0.998541726,0.000123381
Fogel & Rutherford (1990),,Rhyolite,"Valles Caldera, New Mexico",Natural,FTIR,FTIR,IHPV,153C,1050,5,A,4324,50,A,0.1829,0.04,R,2867,0.04,R,76.45,0.24,A,12.56,0.13,A,4.21,0.11,A,0.06,0.02,A,0.25,0.06,A,0.08,0.05,A,1.02,0.07,A,0.08,0.07,A,4.78,0.21,A,,,ND,,,,,,,ND,,,ND,,,ND,F,,,,,99.49,76.84189366,9.036084029,cross,#cc78bc,N,N,N,Y,,Liu,6201.044918,246.3152761,0.001354855,0.00011988,0.998645145,0.00011988
Fogel & Rutherford (1990),,Rhyolite,"Valles Caldera, New Mexico",Natural,FTIR,FTIR,TZM,164,1050,10,A,1000,50,A,0.0587,0.04,R,599,0.04,R,76.45,0.24,A,12.56,0.13,A,4.21,0.11,A,0.06,0.02,A,0.25,0.06,A,0.08,0.05,A,1.02,0.07,A,0.08,0.07,A,4.78,0.21,A,,,ND,,,,,,,ND,,,ND,,,ND,F,,,,,99.49,76.84189366,9.036084029,cross,#cc78bc,N,N,N,Y,,Liu,1369.267763,55.12487611,0.000390299,3.38E-05,0.999609701,3.38E-05
Fogel & Rutherford (1990),,Rhyolite,"Valles Caldera, New Mexico",Natural,FTIR,FTIR,IHPV,136,1150,5,A,2029,50,A,0.0669,0.04,R,1125,0.04,R,76.45,0.24,A,12.56,0.13,A,4.21,0.11,A,0.06,0.02,A,0.25,0.06,A,0.08,0.05,A,1.02,0.07,A,0.08,0.07,A,4.78,0.21,A,,,ND,,,,,,,ND,,,ND,,,ND,T,,,,,99.49,76.84189366,9.036084029,cross,#cc78bc,N,N,N,Y,,Liu,2739.557231,107.3552925,0.00033622,2.78E-05,0.99966378,2.78E-05
Fogel & Rutherford (1990),,Rhyolite,"Valles Caldera, New Mexico",Natural,FTIR,FTIR,IHPV,149,1150,5,A,3487,50,A,0.1069,0.04,R,1790,0.04,R,76.45,0.24,A,12.56,0.13,A,4.21,0.11,A,0.06,0.02,A,0.25,0.06,A,0.08,0.05,A,1.02,0.07,A,0.08,0.07,A,4.78,0.21,A,,,ND,,,,,,,ND,,,ND,,,ND,F,,,,,99.49,76.84189366,9.036084029,cross,#cc78bc,N,N,N,Y,,Liu,4276.27549,171.2025512,0.000647783,5.38E-05,0.999352217,5.38E-05
Fogel & Rutherford (1990),,Rhyolite,"Valles Caldera, New Mexico",Natural,FTIR,FTIR,IHPV,131,1150,5,A,4500,50,A,0.1019,0.04,R,2337,0.04,R,76.45,0.24,A,12.56,0.13,A,4.21,0.11,A,0.06,0.02,A,0.25,0.06,A,0.08,0.05,A,1.02,0.07,A,0.08,0.07,A,4.78,0.21,A,,,ND,,,,,,,ND,,,ND,,,ND,T,,,,,99.49,76.84189366,9.036084029,cross,#cc78bc,N,N,N,Y,,Liu,5567.57571,219.4929071,0.000524305,4.32E-05,0.999475695,4.32E-05
