Reference,doi,Composition,Location,Material,H2O technique,CO2 technique,Experimental apparatus,Sample,T_C,T_C sd,T_C sd type,P_bar,P_bar sd,P_bar sd type,H2O_wt%,H2O_wt% sd,H2O_wt% sd type,CO2_ppm,CO2_ppm sd,CO2_ppm sd type,SiO2_wt%,SiO2_wt% sd,SiO2_wt% sd type,Al2O3_wt%,Al2O3_wt% sd,Al2O3_wt% sd type,Na2O_wt%,Na2O_wt% sd,Na2O_wt% sd type,MgO_wt%,MgO_wt% sd,MgO_wt% sd type,CaO_wt%,CaO_wt% sd,CaO_wt% sd type,TiO2_wt%,TiO2_wt% sd,TiO2_wt% sd type,FeOT_wt%,FeOT_wt% sd,FeOT_wt% sd type,MnO_wt%,MnO_wt% sd,MnO_wt% sd type,K2O_wt%,K2O_wt% sd,K2O_wt% sd type,P2O5_wt%,P2O5_wt% sd,P2O5_wt% sd type,Fe3_FeT,Fe3_FeT sd,Fe3_FeT sd type,fO2,fO2 unit,fO2 sd,fO2 sd type,XH2Of,XH2Of sd,XH2Of sd type,XCO2f,XCO2f sd,XCO2f sd type,Fit_or_test,volatile-free analytical total,SiO2_n,TA_n,Symbol,Colour,calib_MagmaSat,calib_ShishkinaIdealMixing,calib_IaconoMarziano,calib_Liu,calib_Dixon,model option,P_bar model,P_bar sd model,xgH2O model,xgH2O sd model,xgCO2 model,xgCO2 sd model
Allison et al. (2019),10.1007/s00410-019-1592-4,Phonotephrite,Erebus,Synthetic,FTIR,FTIR,PC,Z-31,1200,10,A,4078,100,A,2.52,0.05,A,3368,67,A,48.38,0.17,A,19.27,0.13,A,6.16,0.05,A,3.19,0.06,A,6.93,0.07,A,2.81,0.03,A,8.92,0.06,A,0.25,0.02,A,2.89,0.01,A,1.19,0.02,A,,,,,,,,0.112,0.05,A,0.888,0.05,CALC,F,99.99,48.38483848,9.050905091,diamond,#fbafe4,N,N,N,N,N,Dixon,5367.177872,241.598634,0.151529707,0.008415003,0.848470293,0.008415003
Allison et al. (2019),10.1007/s00410-019-1592-4,Trachybasalt,Etna,Natural,FTIR,FTIR,PC,Et-8,1200,10,A,4041,100,A,2.68,0.02,A,3996,37,A,48.77,0.09,A,16.98,0.13,A,3.65,0.06,A,6.33,0.05,A,11.26,0.12,A,1.79,0.01,A,8.7,0.14,A,0.18,0.02,A,1.79,0.03,A,0.53,0.01,A,,,,,,,,0.222,0.05,A,0.778,0.05,CALC,F,99.98,48.77975595,5.441088218,circle,#56b4e9,N,N,N,N,N,Dixon,6733.440571,189.0225903,0.134680542,0.004365064,0.865319458,0.004365064
Allison et al. (2019),10.1007/s00410-019-1592-4,Trachybasalt,Etna,Natural,FTIR,FTIR,PC,Z-22,1200,10,A,4194,100,A,3.35,0.02,A,4426,180,A,48.8,0.24,A,17.37,0.05,A,3.75,0.06,A,6.41,0.05,A,11.42,0.08,A,1.69,0.01,A,8.52,0.18,A,0.18,0.05,A,1.87,0.02,A,0.52,0.03,A,,,,,,,,0.209,0.05,A,0.791,0.05,CALC,F,100.53,48.54272357,5.590371034,circle,#56b4e9,N,N,N,N,N,Dixon,7556.85748,415.2004513,0.177114769,0.011006027,0.822885231,0.011006027
Allison et al. (2019),10.1007/s00410-019-1592-4,Basalt,Sunset Crater,Natural,FTIR,FTIR,PC,Z-32,1200,10,A,4071,100,A,2.61,0.01,A,3176,56,A,48.21,0.07,A,16.44,0.04,A,3.46,0.05,A,8.58,0.06,A,10.06,0.02,A,1.86,0.01,A,9.92,0.04,A,0.18,0.02,A,0.82,0.01,A,0.47,0.03,A,,,,,,,,0.185,0.05,A,0.815,0.05,CALC,F,100,48.21,4.28,star-square,#0173b2,N,N,N,N,N,Dixon,4985.900391,100.1552264,0.173336526,0.00385462,0.826663474,0.00385462
Schanofski et al. (2019),10.1007/s00410-019-1581-7,Foidite,Colli Albani,Synthetic,FTIR,FTIR,IHPV,SULm_0.5_1,1250,15,A,500,50,A,0.35,0.01,A,1610,30,A,44.45,0.14,A,16.29,0.06,A,2.86,0.24,A,4.14,0.07,A,10.97,0.05,A,0.97,0.01,A,9.735955184,0.053988661,A,0.26,0.01,A,9.18,0.03,A,0,0,A,,,,,,,,0.05,,,0.95,,CALC,T,98.85595518,44.96441304,12.17933707,diamond,black,N,N,N,N,N,Dixon,1137.907812,29.66124726,0.01233212,0.000807133,0.98766788,0.000807133
Schanofski et al. (2019),10.1007/s00410-019-1581-7,Foidite,Colli Albani,Synthetic,FTIR,ND,IHPV,SULm_0.5_6,1250,15,A,500,50,A,2.61,0.02,A,0,0,A,44.45,0.14,A,16.29,0.06,A,2.86,0.24,A,4.14,0.07,A,10.97,0.05,A,0.97,0.01,A,9.735955184,0.053988661,A,0.26,0.01,A,9.18,0.03,A,0,0,A,,,,,,,,0.996,,,0.004,,CALC,T,98.85595518,44.96441304,12.17933707,diamond,black,N,N,N,N,N,Dixon,824.4011183,13.92488152,1,0,0,0
Schanofski et al. (2019),10.1007/s00410-019-1581-7,Foidite,Colli Albani,Synthetic,FTIR,FTIR,IHPV,SULm_1_1,1250,15,A,1000,50,A,0.47,0.025,A,2940,50,A,44.45,0.14,A,16.29,0.06,A,2.86,0.24,A,4.14,0.07,A,10.97,0.05,A,0.97,0.01,A,9.735955184,0.053988661,A,0.26,0.01,A,9.18,0.03,A,0,0,A,,,,,,,,0.055,,,0.945,,CALC,T,98.85595518,44.96441304,12.17933707,diamond,black,N,N,N,N,N,Dixon,2016.597458,51.49692523,0.013845569,0.001550323,0.986154431,0.001550323
Schanofski et al. (2019),10.1007/s00410-019-1581-7,Foidite,Colli Albani,Synthetic,FTIR,FTIR,IHPV,SULm_1_2,1250,15,A,1000,50,A,1.36,0.04,A,2660,45,A,44.45,0.14,A,16.29,0.06,A,2.86,0.24,A,4.14,0.07,A,10.97,0.05,A,0.97,0.01,A,9.735955184,0.053988661,A,0.26,0.01,A,9.18,0.03,A,0,0,A,,,,,,,,0.135,,,0.865,,CALC,F,98.85595518,44.96441304,12.17933707,diamond,black,N,N,N,N,N,Dixon,2057.322533,49.03921404,0.125632056,0.007331899,0.874367944,0.007331899
Schanofski et al. (2019),10.1007/s00410-019-1581-7,Foidite,Colli Albani,Synthetic,FTIR,FTIR,IHPV,SULm_1_3,1250,15,A,1000,50,A,2.02,0.05,A,2200,40,A,44.45,0.14,A,16.29,0.06,A,2.86,0.24,A,4.14,0.07,A,10.97,0.05,A,0.97,0.01,A,9.735955184,0.053988661,A,0.26,0.01,A,9.18,0.03,A,0,0,A,,,,,,,,0.294,,,0.706,,CALC,F,98.85595518,44.96441304,12.17933707,diamond,black,N,N,N,N,N,Dixon,2049.490702,45.91431006,0.27394249,0.011807608,0.72605751,0.011807608
Schanofski et al. (2019),10.1007/s00410-019-1581-7,Foidite,Colli Albani,Synthetic,FTIR,FTIR,IHPV,SULm_1_4,1250,15,A,1000,50,A,2.74,0.095,A,1780,30,A,44.45,0.14,A,16.29,0.06,A,2.86,0.24,A,4.14,0.07,A,10.97,0.05,A,0.97,0.01,A,9.735955184,0.053988661,A,0.26,0.01,A,9.18,0.03,A,0,0,A,,,,,,,,0.52,,,0.48,,CALC,T,98.85595518,44.96441304,12.17933707,diamond,black,N,N,N,N,N,Dixon,2186.411457,66.22103269,0.451637601,0.018140504,0.548362399,0.018140504
Schanofski et al. (2019),10.1007/s00410-019-1581-7,Foidite,Colli Albani,Synthetic,FTIR,FTIR,IHPV,SULm_1_5,1250,15,A,1000,50,A,3.48,0.075,A,1330,25,A,44.45,0.14,A,16.29,0.06,A,2.86,0.24,A,4.14,0.07,A,10.97,0.05,A,0.97,0.01,A,9.735955184,0.053988661,A,0.26,0.01,A,9.18,0.03,A,0,0,A,,,,,,,,0.759,,,0.241,,CALC,T,98.85595518,44.96441304,12.17933707,diamond,black,N,N,N,N,N,Dixon,2386.528533,58.38463633,0.627800088,0.012684072,0.372199912,0.012684072
Schanofski et al. (2019),10.1007/s00410-019-1581-7,Foidite,Colli Albani,Synthetic,FTIR,ND,IHPV,SULm_1_6,1250,15,A,1000,50,A,3.75,0.09,A,0,0,A,44.45,0.14,A,16.29,0.06,A,2.86,0.24,A,4.14,0.07,A,10.97,0.05,A,0.97,0.01,A,9.735955184,0.053988661,A,0.26,0.01,A,9.18,0.03,A,0,0,A,,,,,,,,1,,,0,,CALC,F,98.85595518,44.96441304,12.17933707,diamond,black,N,N,N,N,N,Dixon,1613.724939,70.33839503,1,0,0,0
Schanofski et al. (2019),10.1007/s00410-019-1581-7,Foidite,Colli Albani,Synthetic,FTIR,FTIR,IHPV,SULm_1.5_1,1250,15,A,1500,50,A,0.36,0.01,A,3850,70,A,44.45,0.14,A,16.29,0.06,A,2.86,0.24,A,4.14,0.07,A,10.97,0.05,A,0.97,0.01,A,9.735955184,0.053988661,A,0.26,0.01,A,9.18,0.03,A,0,0,A,,,,,,,,0.028,,,0.972,,CALC,F,98.85595518,44.96441304,12.17933707,diamond,black,N,N,N,N,N,Dixon,2563.238554,63.14878914,0.006362867,0.000403423,0.993637133,0.000403423
Schanofski et al. (2019),10.1007/s00410-019-1581-7,Foidite,Colli Albani,Synthetic,FTIR,ND,IHPV,SULm_1.5_6,1250,15,A,1500,50,A,4.65,0.185,A,0,0,A,44.45,0.14,A,16.29,0.06,A,2.86,0.24,A,4.14,0.07,A,10.97,0.05,A,0.97,0.01,A,9.735955184,0.053988661,A,0.26,0.01,A,9.18,0.03,A,0,0,A,,,,,,,,0.966,,,0.034,,CALC,F,98.85595518,44.96441304,12.17933707,diamond,black,N,N,N,N,N,Dixon,2351.342115,167.8664853,1,0,0,0
Schanofski et al. (2019),10.1007/s00410-019-1581-7,Foidite,Colli Albani,Synthetic,FTIR,FTIR,IHPV,SULm_2_1,1250,15,A,2000,50,A,0.5,0.015,A,5680,100,A,44.45,0.14,A,16.29,0.06,A,2.86,0.24,A,4.14,0.07,A,10.97,0.05,A,0.97,0.01,A,9.735955184,0.053988661,A,0.26,0.01,A,9.18,0.03,A,0,0,A,,,,,,,,0.021,,,0.979,,CALC,F,98.85595518,44.96441304,12.17933707,diamond,black,N,N,N,N,N,Dixon,3629.981012,84.16785149,0.009358149,0.000624144,0.990641851,0.000624144
Schanofski et al. (2019),10.1007/s00410-019-1581-7,Foidite,Colli Albani,Synthetic,FTIR,FTIR,IHPV,SULm_2_2,1250,15,A,2000,50,A,1.65,0.08,A,5450,95,A,44.45,0.14,A,16.29,0.06,A,2.86,0.24,A,4.14,0.07,A,10.97,0.05,A,0.97,0.01,A,9.735955184,0.053988661,A,0.26,0.01,A,9.18,0.03,A,0,0,A,,,,,,,,0.182,,,0.818,,CALC,F,98.85595518,44.96441304,12.17933707,diamond,black,N,N,N,N,N,Dixon,3830.112943,92.75816558,0.107025505,0.009974666,0.892974495,0.009974666
Schanofski et al. (2019),10.1007/s00410-019-1581-7,Foidite,Colli Albani,Synthetic,FTIR,FTIR,IHPV,SULm_2_3,1250,15,A,2000,50,A,2.87,0.065,A,4650,80,A,44.45,0.14,A,16.29,0.06,A,2.86,0.24,A,4.14,0.07,A,10.97,0.05,A,0.97,0.01,A,9.735955184,0.053988661,A,0.26,0.01,A,9.18,0.03,A,0,0,A,,,,,,,,0.309,,,0.691,,CALC,F,98.85595518,44.96441304,12.17933707,diamond,black,N,N,N,N,N,Dixon,4052.216375,77.10205976,0.284660461,0.010282477,0.715339539,0.010282477
Schanofski et al. (2019),10.1007/s00410-019-1581-7,Foidite,Colli Albani,Synthetic,FTIR,FTIR,IHPV,SULm_2_4,1250,15,A,2000,50,A,3.84,0.085,A,3730,65,A,44.45,0.14,A,16.29,0.06,A,2.86,0.24,A,4.14,0.07,A,10.97,0.05,A,0.97,0.01,A,9.735955184,0.053988661,A,0.26,0.01,A,9.18,0.03,A,0,0,A,,,,,,,,0.516,,,0.484,,CALC,F,98.85595518,44.96441304,12.17933707,diamond,black,N,N,N,N,N,Dixon,4191.623788,82.97486268,0.447862824,0.012814896,0.552137176,0.012814896
Schanofski et al. (2019),10.1007/s00410-019-1581-7,Foidite,Colli Albani,Synthetic,FTIR,FTIR,IHPV,SULm_2_5,1250,15,A,2000,50,A,4.74,0.205,A,2460,45,A,44.45,0.14,A,16.29,0.06,A,2.86,0.24,A,4.14,0.07,A,10.97,0.05,A,0.97,0.01,A,9.735955184,0.053988661,A,0.26,0.01,A,9.18,0.03,A,0,0,A,,,,,,,,0.767,,,0.233,,CALC,F,98.85595518,44.96441304,12.17933707,diamond,black,N,N,N,N,N,Dixon,4119.974101,170.8814755,0.627680274,0.019455069,0.372319726,0.019455069
Schanofski et al. (2019),10.1007/s00410-019-1581-7,Foidite,Colli Albani,Synthetic,FTIR,ND,IHPV,SULm_2_6,1250,15,A,2000,50,A,5.82,0.165,A,0,0,A,44.45,0.14,A,16.29,0.06,A,2.86,0.24,A,4.14,0.07,A,10.97,0.05,A,0.97,0.01,A,9.735955184,0.053988661,A,0.26,0.01,A,9.18,0.03,A,0,0,A,,,,,,,,1,,,0,,CALC,F,98.85595518,44.96441304,12.17933707,diamond,black,N,N,N,N,N,Dixon,3418.610754,161.2618112,1,0,0,0
Schanofski et al. (2019),10.1007/s00410-019-1581-7,Foidite,Colli Albani,Synthetic,FTIR,FTIR,IHPV,SULm_2.5_1,1250,15,A,2500,50,A,0.37,0.06,A,6320,110,A,44.45,0.14,A,16.29,0.06,A,2.86,0.24,A,4.14,0.07,A,10.97,0.05,A,0.97,0.01,A,9.735955184,0.053988661,A,0.26,0.01,A,9.18,0.03,A,0,0,A,,,,,,,,0.017,,,0.983,,CALC,F,98.85595518,44.96441304,12.17933707,diamond,black,N,N,N,N,N,Dixon,3963.725816,92.68862053,0.004714778,0.001594026,0.995285222,0.001594026
Schanofski et al. (2019),10.1007/s00410-019-1581-7,Foidite,Colli Albani,Synthetic,FTIR,FTIR,IHPV,SULm_3_1,1250,15,A,3000,50,A,0.65,0.015,A,8460,150,A,44.45,0.14,A,16.29,0.06,A,2.86,0.24,A,4.14,0.07,A,10.97,0.05,A,0.97,0.01,A,9.735955184,0.053988661,A,0.26,0.01,A,9.18,0.03,A,0,0,A,,,,,,,,0.028,,,0.972,,CALC,F,98.85595518,44.96441304,12.17933707,diamond,black,N,N,N,N,N,Dixon,5088.347261,122.3316732,0.012074734,0.000690969,0.987925266,0.000690969
Schanofski et al. (2019),10.1007/s00410-019-1581-7,Foidite,Colli Albani,Synthetic,FTIR,FTIR,IHPV,SULm_3_2,1250,15,A,3000,50,A,2.19,0.125,A,7700,135,A,44.45,0.14,A,16.29,0.06,A,2.86,0.24,A,4.14,0.07,A,10.97,0.05,A,0.97,0.01,A,9.735955184,0.053988661,A,0.26,0.01,A,9.18,0.03,A,0,0,A,,,,,,,,0.134,,,0.866,,CALC,F,98.85595518,44.96441304,12.17933707,diamond,black,N,N,N,N,N,Dixon,5271.015512,125.6820845,0.138471356,0.013914102,0.861528644,0.013914102
Schanofski et al. (2019),10.1007/s00410-019-1581-7,Foidite,Colli Albani,Synthetic,FTIR,FTIR,IHPV,SULm_3_3,1250,15,A,3000,50,A,3.58,0.08,A,6590,115,A,44.45,0.14,A,16.29,0.06,A,2.86,0.24,A,4.14,0.07,A,10.97,0.05,A,0.97,0.01,A,9.735955184,0.053988661,A,0.26,0.01,A,9.18,0.03,A,0,0,A,,,,,,,,0.317,,,0.683,,CALC,F,98.85595518,44.96441304,12.17933707,diamond,black,N,N,N,N,N,Dixon,5573.764894,102.6482654,0.310789224,0.010607725,0.689210776,0.010607725
Schanofski et al. (2019),10.1007/s00410-019-1581-7,Foidite,Colli Albani,Synthetic,FTIR,FTIR,IHPV,SULm_3_4,1250,15,A,3000,50,A,4.76,0.2,A,5740,100,A,44.45,0.14,A,16.29,0.06,A,2.86,0.24,A,4.14,0.07,A,10.97,0.05,A,0.97,0.01,A,9.735955184,0.053988661,A,0.26,0.01,A,9.18,0.03,A,0,0,A,,,,,,,,0.547,,,0.453,,CALC,F,98.85595518,44.96441304,12.17933707,diamond,black,N,N,N,N,N,Dixon,5992.285254,169.5547586,0.451472924,0.019476609,0.548527076,0.019476609
Schanofski et al. (2019),10.1007/s00410-019-1581-7,Foidite,Colli Albani,Synthetic,FTIR,FTIR,IHPV,SULm_3_5,1250,15,A,3000,50,A,6.29,0.225,A,3700,65,A,44.45,0.14,A,16.29,0.06,A,2.86,0.24,A,4.14,0.07,A,10.97,0.05,A,0.97,0.01,A,9.735955184,0.053988661,A,0.26,0.01,A,9.18,0.03,A,0,0,A,,,,,,,,0.792,,,0.208,,CALC,F,98.85595518,44.96441304,12.17933707,diamond,black,N,N,N,N,N,Dixon,6160.955043,196.6477236,0.657628128,0.015751566,0.342371872,0.015751566
Schanofski et al. (2019),10.1007/s00410-019-1581-7,Foidite,Colli Albani,Synthetic,FTIR,ND,IHPV,SULm_3_6,1250,15,A,3000,50,A,7.29,0.245,A,0,0,A,44.45,0.14,A,16.29,0.06,A,2.86,0.24,A,4.14,0.07,A,10.97,0.05,A,0.97,0.01,A,9.735955184,0.053988661,A,0.26,0.01,A,9.18,0.03,A,0,0,A,,,,,,,,0.965,,,0.035,,CALC,F,98.85595518,44.96441304,12.17933707,diamond,black,N,N,N,N,N,Dixon,4844.090926,239.2983691,1,0,0,0
Jiménez-Mejías et al. (2021),10.5802/crgeos.84,Basanite,"Fasnia, Tenerife, Canary Islands",Natural,FTIR,FTIR,IHPV,F05,1200,5,A,520,20,A,2.29,0.19,A,0,0,A,44.37,0.33,A,14.94,0.2,A,3.83,0.07,A,7.92,0.09,A,10.62,0.11,A,3.5,0.23,A,12.39,0.21,A,0.16,0.13,A,1.54,0.11,A,0.72,0.19,A,,,,1.4,NNO,,NR,1,,NR,0,,NR,F,99.99,44.37443744,5.370537054,circle,#ece133,N,N,N,N,N,Dixon,652.494608,106.3506692,1,0,0,0
Jiménez-Mejías et al. (2021),10.5802/crgeos.84,Basanite,"Fasnia, Tenerife, Canary Islands",Natural,FTIR,FTIR,IHPV,F1a,1200,5,A,1000,20,A,3.37,0.26,A,0,0,A,45.96,0.3,A,15.43,0.08,A,3.5,0.08,A,7.84,0.12,A,10.57,0.04,A,3.5,0.14,A,10.71,0.21,A,0.2,0.07,A,1.42,0.07,A,0.86,0.15,A,,,,3.18,NNO,,NR,1,,NR,0,,NR,F,99.99,45.96459646,4.920492049,circle,#ece133,N,N,N,N,N,Dixon,1255.439064,178.2420914,1,0,0,0
Jiménez-Mejías et al. (2021),10.5802/crgeos.84,Basanite,"Fasnia, Tenerife, Canary Islands",Natural,FTIR,FTIR,IHPV,F1c,1200,5,A,1080,20,A,3.25,0.17,A,0,0,A,44.27,0.26,A,15.03,0.13,A,3.84,0.09,A,7.95,0.07,A,10.52,0.11,A,3.55,0.19,A,12.35,0.26,A,0.24,0.1,A,1.6,0.09,A,0.64,0.13,A,,,,1.44,NNO,,NR,1,,NR,0,,NR,T,99.99,44.27442744,5.440544054,circle,#ece133,N,N,N,N,N,Dixon,1278.170075,126.4244266,1,0,0,0
Jiménez-Mejías et al. (2021),10.5802/crgeos.84,Basanite,"Fasnia, Tenerife, Canary Islands",Natural,FTIR,FTIR,IHPV,F2a,1200,5,A,2100,20,A,4.82,0.35,A,0,0,A,45.5,0.26,A,15.41,0.15,A,3.74,0.07,A,7.75,0.08,A,10.68,0.13,A,3.56,0.1,A,10.67,0.22,A,0.16,0.07,A,1.64,0.07,A,0.9,0.11,A,,,,3.25,NNO,,NR,1,,NR,0,,NR,F,100.01,45.49545045,5.379462054,circle,#ece133,N,N,N,N,N,Dixon,2417.775055,292.8577567,1,0,0,0
Jiménez-Mejías et al. (2021),10.5802/crgeos.84,Basanite,"Fasnia, Tenerife, Canary Islands",Natural,FTIR,FTIR,IHPV,F2b,1200,5,A,2100,20,A,5.03,0.27,A,0,0,A,44.74,0.32,A,14.98,0.14,A,3.79,0.15,A,7.99,0.1,A,10.55,0.13,A,3.49,0.13,A,11.86,0.27,A,0.25,0.08,A,1.59,0.1,A,0.75,0.13,A,,,,1.38,NNO,,NR,1,,NR,0,,NR,F,99.99,44.74447445,5.380538054,circle,#ece133,N,N,N,N,N,Dixon,2725.126635,248.5048344,1,0,0,0
Jiménez-Mejías et al. (2021),10.5802/crgeos.84,Basanite,"Fasnia, Tenerife, Canary Islands",Natural,FTIR,FTIR,IHPV,F3a,1200,5,A,2920,20,A,6.14,0.32,A,0,0,A,47.91,0.22,A,16.03,0.18,A,3.71,0.11,A,7.7,0.06,A,10.88,0.08,A,3.14,0.16,A,7.93,0.22,A,0.13,0.06,A,1.73,0.07,A,0.83,0.13,A,,,,3.18,NNO,,NR,1,,NR,0,,NR,T,99.99,47.91479148,5.440544054,circle,#ece133,N,N,N,N,N,Dixon,3211.514824,279.8459062,1,0,0,0
Jiménez-Mejías et al. (2021),10.5802/crgeos.84,Basanite,"Fasnia, Tenerife, Canary Islands",Natural,FTIR,FTIR,IHPV,F3c2,1200,5,A,3190,20,A,6.17,0.38,A,0,0,A,44.9,0.21,A,15.12,0.15,A,3.2,0.13,A,7.87,0.13,A,10.81,0.15,A,3.75,0.2,A,11.9,0.15,A,0.18,0.1,A,1.54,0.13,A,0.71,0.17,A,,,,1.34,NNO,,NR,1,,NR,0,,NR,F,99.98,44.9089818,4.74094819,circle,#ece133,N,N,N,N,N,Dixon,3768.498649,373.3232833,1,0,0,0
Jiménez-Mejías et al. (2021),10.5802/crgeos.84,Basanite,"Fasnia, Tenerife, Canary Islands",Natural,FTIR,FTIR,IHPV,F4a,1200,5,A,4110,20,A,7.35,0.48,A,0,0,A,48.21,0.29,A,16.16,0.11,A,3.24,0.13,A,7.88,0.06,A,11.37,0.06,A,3.04,0.11,A,7.41,0.15,A,0.1,0.05,A,1.65,0.06,A,0.93,0.16,A,,,,3.22,NNO,,NR,1,,NR,0,,NR,F,99.99,48.21482148,4.890489049,circle,#ece133,N,N,N,N,N,Dixon,4194.182941,412.129572,1,0,0,0
Jiménez-Mejías et al. (2021),10.5802/crgeos.84,Basanite,"Fasnia, Tenerife, Canary Islands",Natural,EA,FTIR,IHPV,F4b,1200,5,A,3970,20,A,7.26,0.35,A,0,0,A,44.6,0.28,A,15.12,0.16,A,3.99,0.12,A,7.77,0.14,A,10.67,0.17,A,3.54,0.18,A,11.82,0.23,A,0.2,0.08,A,1.63,0.09,A,0.67,0.13,A,,,,1.2,NNO,,NR,1,,NR,0,,NR,F,100.01,44.59554045,5.619438056,circle,#ece133,N,N,N,N,N,Dixon,4887.979053,349.6979445,1,0,0,0
Jiménez-Mejías et al. (2021),10.5802/crgeos.84,Basanite,"Fasnia, Tenerife, Canary Islands",Natural,FTIR,FTIR,IHPV,FC05,1200,5,A,600,20,A,1.19,0.1,A,484,35,A,45.01,0.31,A,15.24,0.23,A,3.89,0.1,A,7.99,0.06,A,10.71,0.12,A,3.58,0.11,A,10.93,0.35,A,0.21,0.12,A,1.69,0.1,A,0.74,0.15,A,,,,0.37,NNO,,NR,0.266,,NR,0.734,,NR,F,99.99,45.01450145,5.580558056,circle,#ece133,N,N,N,N,N,Dixon,547.7201584,46.00968177,0.315650294,0.042685855,0.684349706,0.042685855
Jiménez-Mejías et al. (2021),10.5802/crgeos.84,Basanite,"Fasnia, Tenerife, Canary Islands",Natural,FTIR,FTIR,IHPV,FC1c,1200,5,A,1130,20,A,1.49,0.12,A,1205,55,A,45.18,0.32,A,15.37,0.14,A,3.96,0.07,A,8.1,0.08,A,10.72,0.13,A,3.62,0.18,A,10.51,0.36,A,0.21,0.09,A,1.58,0.09,A,0.77,0.17,A,,,,0.14,NNO,,NR,0.214,,NR,0.786,,NR,T,100.02,45.17096581,5.538892222,circle,#ece133,N,N,N,N,N,Dixon,1228.907814,78.61991838,0.234622452,0.032301824,0.765377548,0.032301824
Jiménez-Mejías et al. (2021),10.5802/crgeos.84,Basanite,"Fasnia, Tenerife, Canary Islands",Natural,FTIR,FTIR,IHPV,FC2b,1200,5,A,2100,20,A,1.7,0.14,A,2713,138,A,45.51,0.33,A,15.38,0.3,A,3.92,0.12,A,8.2,0.15,A,10.77,0.09,A,3.69,0.16,A,9.97,0.27,A,0.13,0.1,A,1.64,0.1,A,0.79,0.09,A,,,,-0.3,NNO,,NR,0.145,,NR,0.855,,NR,F,100,45.51,5.56,circle,#ece133,N,N,N,N,N,Dixon,2505.09953,158.5068055,0.160907168,0.024561382,0.839092832,0.024561382
Jiménez-Mejías et al. (2021),10.5802/crgeos.84,Basanite,"Fasnia, Tenerife, Canary Islands",Natural,FTIR,FTIR,IHPV,FC3b,1200,5,A,2940,20,A,1.72,0.11,A,4209,169,A,45.21,0.32,A,15.39,0.14,A,4,0.07,A,8.12,0.08,A,10.77,0.13,A,3.55,0.18,A,10.5,0.36,A,0.21,0.09,A,1.61,0.09,A,0.65,0.17,A,,,,-0.73,NNO,,NR,0.102,,NR,0.898,,NR,F,100.01,45.20547945,5.609439056,circle,#ece133,N,N,N,N,N,Dixon,3412.418054,186.1047825,0.128006275,0.016291256,0.871993725,0.016291256
Jiménez-Mejías et al. (2021),10.5802/crgeos.84,Basanite,"Fasnia, Tenerife, Canary Islands",Natural,FTIR,FTIR,IHPV,FC4b,1200,5,A,3970,20,A,1.84,0.13,A,5748,287,A,45.85,0.33,A,15.54,0.3,A,3.98,0.12,A,8.12,0.15,A,10.71,0.09,A,3.58,0.16,A,9.69,0.27,A,0.18,0.1,A,1.61,0.1,A,0.75,0.09,A,,,,-1,NNO,,NR,0.08,,NR,0.92,,NR,F,100.01,45.84541546,5.589441056,circle,#ece133,N,N,N,N,N,Dixon,4733.255251,270.7772446,0.104826581,0.014941666,0.895173419,0.014941666
Jiménez-Mejías et al. (2021),10.5802/crgeos.84,Phonotephrite,"Garachico, Tenerife, Canary Islands",Natural,FTIR,FTIR,IHPV,G05,1200,5,A,520,20,A,2.35,0.25,A,0,0,A,48.46,0.25,A,17.82,0.2,A,5.18,0.1,A,4.03,0.08,A,8.6,0.07,A,2.93,0.22,A,9.47,0.26,A,0.2,0.08,A,2.19,0.11,A,1.11,0.15,A,,,,1.4,NNO,,NR,1,,NR,0,,NR,T,99.99,48.46484648,7.370737074,cross,#fbafe4,N,N,N,N,N,Dixon,562.6189381,115.0525911,1,0,0,0
Jiménez-Mejías et al. (2021),10.5802/crgeos.84,Phonotephrite,"Garachico, Tenerife, Canary Islands",Natural,FTIR,FTIR,IHPV,G1a,1200,5,A,1000,20,A,3.36,0.24,A,0,0,A,48.74,0.39,A,18.07,0.24,A,5.14,0.16,A,3.98,0.07,A,8.65,0.17,A,2.98,0.22,A,8.8,0.27,A,0.24,0.1,A,2.22,0.14,A,1.2,0.19,A,,,,3.18,NNO,,NR,1,,NR,0,,NR,F,100.02,48.73025395,7.358528294,cross,#fbafe4,N,N,N,N,N,Dixon,1096.608368,148.6066684,1,0,0,0
Jiménez-Mejías et al. (2021),10.5802/crgeos.84,Phonotephrite,"Garachico, Tenerife, Canary Islands",Natural,FTIR,FTIR,IHPV,G2a,1200,5,A,2100,20,A,5.12,0.3,A,0,0,A,48.88,0.2,A,18,0.2,A,5.02,0.24,A,4,0.08,A,8.62,0.11,A,3.05,0.2,A,8.89,0.2,A,0.19,0.05,A,2.23,0.12,A,1.11,0.2,A,,,,3.25,NNO,,NR,1,,NR,0,,NR,F,99.99,48.88488849,7.250725073,cross,#fbafe4,N,N,N,N,N,Dixon,2294.889189,228.6182576,1,0,0,0
