Reference,doi,Composition,Location,Material,H2O technique,CO2 technique,Experimental apparatus,Sample,T_C,T_C sd,T_C sd type,P_bar,P_bar sd,P_bar sd type,H2O_wt%,H2O_wt% sd,H2O_wt% sd type,CO2_ppm,CO2_ppm sd,CO2_ppm sd type,SiO2_wt%,SiO2_wt% sd,SiO2_wt% sd type,Al2O3_wt%,Al2O3_wt% sd,Al2O3_wt% sd type,Na2O_wt%,Na2O_wt% sd,Na2O_wt% sd type,MgO_wt%,MgO_wt% sd,MgO_wt% sd type,CaO_wt%,CaO_wt% sd,CaO_wt% sd type,TiO2_wt%,TiO2_wt% sd,TiO2_wt% sd type,FeOT_wt%,FeOT_wt% sd,FeOT_wt% sd type,MnO_wt%,MnO_wt% sd,MnO_wt% sd type,K2O_wt%,K2O_wt% sd,K2O_wt% sd type,P2O5_wt%,P2O5_wt% sd,P2O5_wt% sd type,Fe3_FeT,Fe3_FeT sd,Fe3_FeT sd type,fO2,fO2 unit,fO2 sd,fO2 sd type,XH2Of,XH2Of sd,XH2Of sd type,XCO2f,XCO2f sd,XCO2f sd type,Fit_or_test,volatile-free analytical total,SiO2_n,TA_n,Symbol,Colour,calib_MagmaSat,calib_ShishkinaIdealMixing,calib_IaconoMarziano,calib_Liu,calib_Dixon,model option,P_bar model,P_bar sd model,xgH2O model,xgH2O sd model,xgCO2 model,xgCO2 sd model
Shishkina et al. (2010) Chem Geol,10.1016/j.chemgeo.2010.07.014,Basalt,"Mutnovsky, Kamchatka",Natural,KFT,ND,IHPV,M11,1250,3,A,2000,50,A,4.95,0.12,A,0,0,A,46.44,0.38,A,16.72,0.33,A,2.22,0.16,A,6.39,0.1,A,10.46,0.32,A,0.86,0.02,A,8.19,0.41,A,0.2,0.11,A,0.23,0.03,A,,,ND,,,,2.6,NNO,,,1,0.03,A,0,0.03,CALC,F,91.71,50.63788027,2.671464399,triangle-right,#0173b2,Y,Y,Y,N,N,Dixon,2366.252044,106.0791864,1,0,0,0
Shishkina et al. (2010) Chem Geol,10.1016/j.chemgeo.2010.07.014,Basalt,"Mutnovsky, Kamchatka",Natural,KFT,FTIR,IHPV,M12,1250,3,A,2000,50,A,4.44,0.13,A,195,18,A,46.78,0.52,A,16.83,0.25,A,2.1,0.13,A,6.44,0.19,A,10.39,0.17,A,0.88,0.03,A,8.92,0.45,A,0.2,0.12,A,0.21,0.04,A,,,ND,0.43,0.02,A,2.49,NNO,,,0.88,0.05,A,0.12,0.05,CALC,F,92.75,50.43665768,2.490566038,triangle-right,#0173b2,Y,Y,Y,N,N,Dixon,2160.578598,102.2704301,0.905312664,0.015058304,0.094687336,0.015058304
Shishkina et al. (2010) Chem Geol,10.1016/j.chemgeo.2010.07.014,Basalt,"Mutnovsky, Kamchatka",Natural,KFT,FTIR,IHPV,M2,1250,3,A,2000,50,A,4.22,0.13,A,296,24,A,46.85,0.37,A,16.87,0.19,A,2.2,0.24,A,6.52,0.17,A,10.57,0.19,A,0.88,0.03,A,8.54,0.15,A,0.21,0.08,A,0.24,0.04,A,,,ND,0.18,0.03,A,2.23,NNO,,,0.63,0.04,A,0.37,0.04,CALC,F,92.88,50.4414298,2.62704565,triangle-right,#0173b2,Y,Y,Y,N,N,Dixon,2114.541782,96.78647991,0.852688359,0.017948828,0.147311641,0.017948828
Shishkina et al. (2010) Chem Geol,10.1016/j.chemgeo.2010.07.014,Basalt,"Mutnovsky, Kamchatka",Natural,KFT,FTIR,IHPV,M3,1250,3,A,2000,50,A,3.21,0.14,A,598,48,A,47.44,0.15,A,17.04,0.23,A,2.11,0.22,A,6.63,0.14,A,10.71,0.18,A,0.92,0.04,A,8.96,0.31,A,0.19,0.08,A,0.24,0.05,A,,,ND,0.35,0.03,A,2.01,NNO,,,0.47,0.05,A,0.53,0.05,CALC,F,94.24,50.33955857,2.493633277,triangle-right,#0173b2,Y,Y,Y,N,N,Dixon,1844.26512,106.1060913,0.604170633,0.029069835,0.395829367,0.029069835
Shishkina et al. (2010) Chem Geol,10.1016/j.chemgeo.2010.07.014,Basalt,"Mutnovsky, Kamchatka",Natural,KFT,ND,IHPV,M33,1250,3,A,3000,50,A,6.25,0.12,A,0,0,A,45.78,0.24,A,16.53,0.22,A,2.17,0.13,A,6.38,0.25,A,10.22,0.3,A,0.83,0.04,A,8.54,0.44,A,0.15,0.08,A,0.2,0.03,A,,,ND,,,,2.6,NNO,,,1,0.02,A,0,0.02,CALC,F,90.8,50.4185022,2.610132159,triangle-right,#0173b2,Y,Y,Y,N,N,Dixon,3566.427268,117.4785604,1,0,0,0
Shishkina et al. (2010) Chem Geol,10.1016/j.chemgeo.2010.07.014,Basalt,"Mutnovsky, Kamchatka",Natural,KFT,FTIR,IHPV,M34,1250,3,A,3000,50,A,5.7,0.13,A,375,30,A,46,0.3,A,16.6,0.24,A,2.25,0.12,A,6.29,0.17,A,10.15,0.36,A,0.85,0.05,A,8.67,0.4,A,0.2,0.08,A,0.23,0.05,A,,,ND,0.43,0.02,A,2.49,NNO,,,0.87,0.03,A,0.13,0.03,CALC,F,91.24,50.416484,2.718106094,triangle-right,#0173b2,Y,Y,Y,N,N,Dixon,3404.659378,111.214621,0.908079137,0.009528817,0.091920863,0.009528817
Shishkina et al. (2010) Chem Geol,10.1016/j.chemgeo.2010.07.014,Basalt,"Mutnovsky, Kamchatka",Natural,KFT,FTIR,IHPV,M35,1250,3,A,3000,50,A,4.2,0.12,A,1019,81,A,45.96,0.57,A,16.83,0.26,A,2.28,0.2,A,6.5,0.18,A,10.11,0.41,A,0.84,0.04,A,8.26,0.61,A,0.16,0.08,A,0.23,0.03,A,,,ND,0.39,0.02,A,2.17,NNO,,,0.57,0.04,A,0.43,0.04,CALC,F,91.17,50.41131951,2.753098607,triangle-right,#0173b2,Y,Y,Y,N,N,Dixon,2787.161428,121.6562889,0.688211579,0.035172454,0.311788421,0.035172454
Shishkina et al. (2010) Chem Geol,10.1016/j.chemgeo.2010.07.014,Basalt,"Mutnovsky, Kamchatka",Natural,KFT,FTIR,IHPV,M36,1250,3,A,3000,50,A,2.82,0.11,A,1392,111,A,47.38,0.41,A,17.34,0.25,A,2.2,0.18,A,6.51,0.18,A,10.65,0.34,A,0.88,0.04,A,9,0.34,A,0.13,0.1,A,0.23,0.03,A,,,ND,0.34,0.02,A,1.78,NNO,,,0.34,0.05,A,0.66,0.05,CALC,F,94.32,50.23324852,2.576335878,triangle-right,#0173b2,Y,Y,Y,N,N,Dixon,2558.967983,217.971735,0.364324035,0.035659512,0.635675965,0.035659512
Shishkina et al. (2010) Chem Geol,10.1016/j.chemgeo.2010.07.014,Basalt,"Mutnovsky, Kamchatka",Natural,KFT,ND,IHPV,M38,1250,3,A,4000,50,A,7.36,0.12,A,0,0,A,45.22,0.45,A,16.37,0.23,A,2.24,0.13,A,6.11,0.25,A,10.05,0.36,A,0.84,0.06,A,8.68,0.36,A,0.14,0.08,A,0.23,0.02,A,,,ND,,,,2.6,NNO,,,1,0.05,A,0,0.05,CALC,F,89.88,50.31152648,2.748108589,triangle-right,#0173b2,Y,Y,Y,N,N,Dixon,4703.833959,157.9259052,1,0,0,0
Shishkina et al. (2010) Chem Geol,10.1016/j.chemgeo.2010.07.014,Basalt,"Mutnovsky, Kamchatka",Natural,KFT,FTIR,IHPV,M39,1250,3,A,4000,50,A,6.75,0.12,A,681,54,A,45.64,0.26,A,16.59,0.23,A,2.12,0.12,A,6.22,0.14,A,10.15,0.2,A,0.86,0.04,A,8.42,0.32,A,0.18,0.1,A,0.24,0.06,A,,,ND,0.46,0.02,A,2.51,NNO,,,0.89,0.03,A,0.11,0.03,CALC,F,90.42,50.4755585,2.610042026,triangle-right,#0173b2,Y,Y,Y,N,N,Dixon,4619.08249,118.2666818,0.890212416,0.009687668,0.109787584,0.009687668
