Reference,doi,Composition,Location,Material,H2O technique,CO2 technique,Experimental apparatus,Sample,T_C,T_C sd,T_C sd type,P_bar,P_bar sd,P_bar sd type,H2O_wt%,H2O_wt% sd,H2O_wt% sd type,CO2_ppm,CO2_ppm sd,CO2_ppm sd type,SiO2_wt%,SiO2_wt% sd,SiO2_wt% sd type,Al2O3_wt%,Al2O3_wt% sd,Al2O3_wt% sd type,Na2O_wt%,Na2O_wt% sd,Na2O_wt% sd type,MgO_wt%,MgO_wt% sd,MgO_wt% sd type,CaO_wt%,CaO_wt% sd,CaO_wt% sd type,TiO2_wt%,TiO2_wt% sd,TiO2_wt% sd type,FeOT_wt%,FeOT_wt% sd,FeOT_wt% sd type,MnO_wt%,MnO_wt% sd,MnO_wt% sd type,K2O_wt%,K2O_wt% sd,K2O_wt% sd type,P2O5_wt%,P2O5_wt% sd,P2O5_wt% sd type,Fe3_FeT,Fe3_FeT sd,Fe3_FeT sd type,fO2,fO2 unit,fO2 sd,fO2 sd type,XH2Of,XH2Of sd,XH2Of sd type,XCO2f,XCO2f sd,XCO2f sd type,Fit_or_test,volatile-free analytical total,SiO2_n,TA_n,Symbol,Colour,calib_MagmaSat,calib_ShishkinaIdealMixing,calib_IaconoMarziano,calib_Liu,model option,P_bar model,P_bar sd model,xgH2O model,xgH2O sd model,xgCO2 model,xgCO2 sd model
Botcharnikov et al. (2006) Chem. Geol.,10.1016/j.chemgeo.2006.01.016,Andesite,"Unzen, Japan",Synthetic,FTIR,FTIR,IHPV,A81,1200,5,A,2000,50,A,1.78,0.28,A,1570,170,A,57.44,0.01,R,17.53,0.01,R,3.32,0.01,R,4.31,0.01,R,7.42,0.01,R,1.06,0.01,R,6.624,0.01,R,0.12,0.01,R,1.61,0.01,R,,,ND,,,,[+1.5 to +4],DFMQ,,,0.09,0.27,A,0.91,0.27,CALC,F,99.434,57.766961,4.958062635,diamond,#029e73,Y,N,Y,N,IaconoMarziano,2734.976346,229.339048,0.248338939,0.058993977,0.751661061,0.058993977
Botcharnikov et al. (2006) Chem. Geol.,10.1016/j.chemgeo.2006.01.016,Andesite,"Unzen, Japan",Synthetic,FTIR,FTIR,IHPV,A78,1200,5,A,2000,50,A,1.27,0.07,A,2230,230,A,57.44,0.01,R,17.53,0.01,R,3.32,0.01,R,4.31,0.01,R,7.42,0.01,R,1.06,0.01,R,5.544,0.01,R,0.12,0.01,R,1.61,0.01,R,,,ND,,,,[+1.5 to +4],DFMQ,,,0.27,0.26,A,0.73,0.26,CALC,F,98.354,58.40128515,5.012505846,diamond,#029e73,Y,N,Y,N,IaconoMarziano,3357.985748,246.7866447,0.120206215,0.013812587,0.879793785,0.013812587
Botcharnikov et al. (2006) Chem. Geol.,10.1016/j.chemgeo.2006.01.016,Andesite,"Unzen, Japan",Synthetic,FTIR,FTIR,IHPV,A93,1200,5,A,5000,50,A,7.81,0.28,A,3300,340,A,57.44,0.01,R,17.53,0.01,R,3.32,0.01,R,4.31,0.01,R,7.42,0.01,R,1.06,0.01,R,7.2,0.01,R,0.12,0.01,R,1.61,0.01,R,,,ND,,,,[+1.5 to +4],DFMQ,,,0.47,0.17,A,0.53,0.17,CALC,T,100.01,57.43425657,4.929507049,diamond,#029e73,Y,N,Y,N,IaconoMarziano,7653.806626,258.9274449,0.818197212,0.020330752,0.181802788,0.020330752
Botcharnikov et al. (2006) Chem. Geol.,10.1016/j.chemgeo.2006.01.016,Andesite,"Unzen, Japan",Synthetic,FTIR,FTIR,IHPV,A94,1200,5,A,5000,50,A,4.05,0.07,A,4030,420,A,57.44,0.01,R,17.53,0.01,R,3.32,0.01,R,4.31,0.01,R,7.42,0.01,R,1.06,0.01,R,7.2,0.01,R,0.12,0.01,R,1.61,0.01,R,,,ND,,,,[+1.5 to +4],DFMQ,,,0.29,0.22,A,0.71,0.22,CALC,F,100.01,57.43425657,4.929507049,diamond,#029e73,Y,N,Y,N,IaconoMarziano,5768.231627,277.5966143,0.451816893,0.02003031,0.548183107,0.02003031
Botcharnikov et al. (2006) Chem. Geol.,10.1016/j.chemgeo.2006.01.016,Andesite,"Unzen, Japan",Synthetic,FTIR,FTIR,IHPV,A96,1200,5,A,5000,50,A,2.24,0.09,A,4140,430,A,57.44,0.01,R,17.53,0.01,R,3.32,0.01,R,4.31,0.01,R,7.42,0.01,R,1.06,0.01,R,7.2,0.01,R,0.12,0.01,R,1.61,0.01,R,,,ND,,,,[+1.5 to +4],DFMQ,,,0.22,0.19,A,0.78,0.19,CALC,F,100.01,57.43425657,4.929507049,diamond,#029e73,Y,N,Y,N,IaconoMarziano,5199.210966,327.3895207,0.199923761,0.016535087,0.800076239,0.016535087
Botcharnikov et al. (2006) Chem. Geol.,10.1016/j.chemgeo.2006.01.016,Andesite,"Unzen, Japan",Synthetic,FTIR,FTIR,IHPV,A89,1200,5,A,5000,50,A,1.26,0.07,A,3700,370,A,57.44,0.01,R,17.53,0.01,R,3.32,0.01,R,4.31,0.01,R,7.42,0.01,R,1.06,0.01,R,6.048,0.01,R,0.12,0.01,R,1.61,0.01,R,,,ND,,,,[+1.5 to +4],DFMQ,,,0.05,0.26,A,0.95,0.26,CALC,F,98.858,58.10354245,4.98695098,diamond,#029e73,Y,N,Y,N,IaconoMarziano,4737.933146,316.2602696,0.085859401,0.009528048,0.914140599,0.009528048
Botcharnikov et al. (2006) Chem. Geol.,10.1016/j.chemgeo.2006.01.016,Andesite,"Unzen, Japan",Synthetic,FTIR,FTIR,IHPV,A90,1100,5,A,2000,50,A,2.99,0.06,A,1580,180,A,57.44,0.01,R,17.53,0.01,R,3.32,0.01,R,4.31,0.01,R,7.42,0.01,R,1.06,0.01,R,7.2,0.01,R,0.12,0.01,R,1.61,0.01,R,,,ND,,,,[+1.5 to +4],DFMQ,,,0.51,0.37,A,0.49,0.37,CALC,F,100.01,57.43425657,4.929507049,diamond,#029e73,Y,N,Y,N,IaconoMarziano,3253.278735,179.3056995,0.478682527,0.025624256,0.521317473,0.025624256
Botcharnikov et al. (2006) Chem. Geol.,10.1016/j.chemgeo.2006.01.016,Andesite,"Unzen, Japan",Synthetic,FTIR,FTIR,IHPV,A91,1100,5,A,2000,50,A,2,0.14,A,1800,190,A,57.44,0.01,R,17.53,0.01,R,3.32,0.01,R,4.31,0.01,R,7.42,0.01,R,1.06,0.01,R,7.2,0.01,R,0.12,0.01,R,1.61,0.01,R,,,ND,,,,[+1.5 to +4],DFMQ,,,0.28,0.2,A,0.72,0.2,CALC,F,100.01,57.43425657,4.929507049,diamond,#029e73,Y,N,Y,N,IaconoMarziano,3012.184113,206.9485084,0.271018564,0.031457381,0.728981436,0.031457381
Botcharnikov et al. (2006) Chem. Geol.,10.1016/j.chemgeo.2006.01.016,Andesite,"Unzen, Japan",Synthetic,FTIR,FTIR,IHPV,A98,1100,5,A,5000,50,A,7.72,0.24,A,4540,470,A,57.44,0.01,R,17.53,0.01,R,3.32,0.01,R,4.31,0.01,R,7.42,0.01,R,1.06,0.01,R,7.2,0.01,R,0.12,0.01,R,1.61,0.01,R,,,ND,,,,[+1.5 to +4],DFMQ,,,0.53,0.14,A,0.47,0.14,CALC,F,100.01,57.43425657,4.929507049,diamond,#029e73,Y,N,Y,N,IaconoMarziano,8126.42504,256.1455005,0.784244672,0.019991388,0.215755328,0.019991388
Botcharnikov et al. (2006) Chem. Geol.,10.1016/j.chemgeo.2006.01.016,Andesite,"Unzen, Japan",Synthetic,FTIR,FTIR,IHPV,A99,1100,5,A,5000,50,A,4.56,0.12,A,4290,440,A,57.44,0.01,R,17.53,0.01,R,3.32,0.01,R,4.31,0.01,R,7.42,0.01,R,1.06,0.01,R,7.2,0.01,R,0.12,0.01,R,1.61,0.01,R,,,ND,,,,[+1.5 to +4],DFMQ,,,0.34,0.23,A,0.66,0.23,CALC,T,100.01,57.43425657,4.929507049,diamond,#029e73,Y,N,Y,N,IaconoMarziano,6108.038793,273.8725193,0.515230943,0.024015584,0.484769057,0.024015584
