Reference,doi,Composition,Location,Material,H2O technique,CO2 technique,Experimental apparatus,Sample,T_C,T_C sd,T_C sd type,P_bar,P_bar sd,P_bar sd type,H2O_wt%,H2O_wt% sd,H2O_wt% sd type,CO2_ppm,CO2_ppm sd,CO2_ppm sd type,SiO2_wt%,SiO2_wt% sd,SiO2_wt% sd type,Al2O3_wt%,Al2O3_wt% sd,Al2O3_wt% sd type,Na2O_wt%,Na2O_wt% sd,Na2O_wt% sd type,MgO_wt%,MgO_wt% sd,MgO_wt% sd type,CaO_wt%,CaO_wt% sd,CaO_wt% sd type,TiO2_wt%,TiO2_wt% sd,TiO2_wt% sd type,FeOT_wt%,FeOT_wt% sd,FeOT_wt% sd type,MnO_wt%,MnO_wt% sd,MnO_wt% sd type,K2O_wt%,K2O_wt% sd,K2O_wt% sd type,P2O5_wt%,P2O5_wt% sd,P2O5_wt% sd type,Fe3_FeT,Fe3_FeT sd,Fe3_FeT sd type,fO2,fO2 unit,fO2 sd,fO2 sd type,XH2Of,XH2Of sd,XH2Of sd type,XCO2f,XCO2f sd,XCO2f sd type,Fit_or_test,volatile-free analytical total,SiO2_n,TA_n,Symbol,Colour,calib_MagmaSat,calib_ShishkinaIdealMixing,calib_IaconoMarziano,calib_Liu,model option,P_bar model,P_bar sd model,xgH2O model,xgH2O sd model,xgCO2 model,xgCO2 sd model
Shishkina et al. (2010) Chem Geol,10.1016/j.chemgeo.2010.07.014,Basalt,"Mutnovsky, Kamchatka",Natural,KFT,FTIR,IHPV,M48,1250,3,A,500,50,A,0.77,0.11,A,176,15,A,49.33,0.38,A,17.85,0.24,A,2.39,0.16,A,6.86,0.2,A,11.01,0.33,A,0.91,0.05,A,7.93,0.36,A,0.18,0.09,A,0.24,0.03,A,,,ND,0.21,0.02,A,1.24,NNO,,,0.2,0.08,A,0.8,0.08,CALC,T,96.7,51.01344364,2.71975181,triangle-right,#0173b2,Y,Y,Y,N,IaconoMarziano,481.0669946,40.82084577,0.209376605,0.04780018,0.790623395,0.04780018
Shishkina et al. (2010) Chem Geol,10.1016/j.chemgeo.2010.07.014,Basalt,"Mutnovsky, Kamchatka",Natural,KFT,FTIR,IHPV,M47,1250,3,A,500,50,A,0.82,0.12,A,175,14,A,49.65,0.42,A,18.08,0.23,A,2.41,0.16,A,6.9,0.13,A,10.91,0.28,A,0.92,0.04,A,8.16,0.29,A,0.17,0.1,A,0.23,0.04,A,,,ND,0.25,0.02,A,1.2,NNO,,,0.18,0.08,A,0.82,0.08,CALC,F,97.43,50.95966335,2.709637689,triangle-right,#0173b2,Y,Y,Y,N,IaconoMarziano,486.5926797,40.15257331,0.23338122,0.050762288,0.76661878,0.050762288
Shishkina et al. (2010) Chem Geol,10.1016/j.chemgeo.2010.07.014,Basalt,"Mutnovsky, Kamchatka",Natural,KFT,ND,IHPV,M6,1250,3,A,1000,50,A,2.8,0.13,A,0,0,A,47.48,0.28,A,17.24,0.1,A,2.41,0.15,A,6.62,0.23,A,10.72,0.08,A,0.88,0.06,A,8.53,0.3,A,0.23,0.07,A,0.22,0.05,A,,,ND,,,,2.6,NNO,,,1,0.05,A,0,0.05,CALC,T,94.33,50.33393406,2.788084385,triangle-right,#0173b2,Y,Y,Y,N,IaconoMarziano,885.1370602,67.00593093,1,0,0,0
Shishkina et al. (2010) Chem Geol,10.1016/j.chemgeo.2010.07.014,Basalt,"Mutnovsky, Kamchatka",Natural,KFT,ND,IHPV,M7,1250,3,A,1000,50,A,2.97,0.12,A,0,0,A,47.38,0.21,A,16.93,0.29,A,2.33,0.08,A,6.47,0.15,A,10.84,0.44,A,0.9,0.06,A,8.66,0.37,A,0.16,0.02,A,0.23,0.04,A,,,ND,,,,2.18,NNO,,,0.6,0.08,A,0.4,0.08,CALC,F,93.9,50.45793397,2.726304579,triangle-right,#0173b2,Y,Y,Y,N,IaconoMarziano,962.4108905,70.63034794,1,0,0,0
Shishkina et al. (2010) Chem Geol,10.1016/j.chemgeo.2010.07.014,Basalt,"Mutnovsky, Kamchatka",Natural,KFT,FTIR,IHPV,M8,1250,3,A,1000,50,A,2.26,0.12,A,157,13,A,47.93,0.35,A,17.4,0.16,A,2.36,0.16,A,6.67,0.15,A,10.91,0.34,A,0.92,0.03,A,8.91,0.62,A,0.18,0.11,A,0.24,0.04,A,,,ND,0.29,0.02,A,2.02,NNO,,,0.49,0.05,A,0.51,0.05,CALC,T,95.52,50.1779732,2.721943049,triangle-right,#0173b2,Y,Y,Y,N,IaconoMarziano,883.6216212,60.36514201,0.702412329,0.028753427,0.297587671,0.028753427
Shishkina et al. (2010) Chem Geol,10.1016/j.chemgeo.2010.07.014,Basalt,"Mutnovsky, Kamchatka",Natural,KFT,FTIR,IHPV,M9,1250,3,A,1000,50,A,1.2,0.12,A,292,24,A,49.09,0.33,A,17.79,0.15,A,2.31,0.22,A,6.77,0.12,A,10.81,0.34,A,0.95,0.07,A,7.79,0.43,A,0.17,0.08,A,0.26,0.03,A,,,ND,0.16,0.02,A,0.87,NNO,,,0.12,0.06,A,0.88,0.06,CALC,F,95.94,51.16739629,2.678757557,triangle-right,#0173b2,Y,Y,Y,N,IaconoMarziano,818.5183813,65.69306014,0.2807857,0.042477942,0.7192143,0.042477942
Shishkina et al. (2010) Chem Geol,10.1016/j.chemgeo.2010.07.014,Basalt,"Mutnovsky, Kamchatka",Natural,KFT,FTIR,IHPV,M10,1250,3,A,1000,50,A,0.75,0.11,A,341,27,A,49.79,0.46,A,18.07,0.22,A,2.21,0.14,A,7.2,0.23,A,11.41,0.2,A,0.94,0.03,A,7.61,0.21,A,0.25,0.06,A,0.23,0.02,A,,,ND,0.12,0.03,A,2.6,NNO,,,0.08,0.05,A,0.92,0.05,CALC,F,97.71,50.95691331,2.497185549,triangle-right,#0173b2,Y,Y,Y,N,IaconoMarziano,849.2348114,62.20830154,0.11498559,0.0280437,0.88501441,0.0280437
Shishkina et al. (2010) Chem Geol,10.1016/j.chemgeo.2010.07.014,Basalt,"Mutnovsky, Kamchatka",Natural,KFT,ND,IHPV,M11,1250,3,A,2000,50,A,4.95,0.12,A,0,0,A,46.44,0.38,A,16.72,0.33,A,2.22,0.16,A,6.39,0.1,A,10.46,0.32,A,0.86,0.02,A,8.19,0.41,A,0.2,0.11,A,0.23,0.03,A,,,ND,,,,2.6,NNO,,,1,0.03,A,0,0.03,CALC,F,91.71,50.63788027,2.671464399,triangle-right,#0173b2,Y,Y,Y,N,IaconoMarziano,2272.9745,2159.49896,1,0,0,0
Shishkina et al. (2010) Chem Geol,10.1016/j.chemgeo.2010.07.014,Basalt,"Mutnovsky, Kamchatka",Natural,KFT,FTIR,IHPV,M12,1250,3,A,2000,50,A,4.44,0.13,A,195,18,A,46.78,0.52,A,16.83,0.25,A,2.1,0.13,A,6.44,0.19,A,10.39,0.17,A,0.88,0.03,A,8.92,0.45,A,0.2,0.12,A,0.21,0.04,A,,,ND,0.43,0.02,A,2.49,NNO,,,0.88,0.05,A,0.12,0.05,CALC,F,92.75,50.43665768,2.490566038,triangle-right,#0173b2,Y,Y,Y,N,IaconoMarziano,2034.399604,89.8212174,0.888522042,0.011323696,0.111477958,0.011323696
Shishkina et al. (2010) Chem Geol,10.1016/j.chemgeo.2010.07.014,Basalt,"Mutnovsky, Kamchatka",Natural,KFT,FTIR,IHPV,M2,1250,3,A,2000,50,A,4.22,0.13,A,296,24,A,46.85,0.37,A,16.87,0.19,A,2.2,0.24,A,6.52,0.17,A,10.57,0.19,A,0.88,0.03,A,8.54,0.15,A,0.21,0.08,A,0.24,0.04,A,,,ND,0.18,0.03,A,2.23,NNO,,,0.63,0.04,A,0.37,0.04,CALC,F,92.88,50.4414298,2.62704565,triangle-right,#0173b2,Y,Y,Y,N,IaconoMarziano,2036.482215,90.34599012,0.827016727,0.015718668,0.172983273,0.015718668
Shishkina et al. (2010) Chem Geol,10.1016/j.chemgeo.2010.07.014,Basalt,"Mutnovsky, Kamchatka",Natural,KFT,FTIR,IHPV,M3,1250,3,A,2000,50,A,3.21,0.14,A,598,48,A,47.44,0.15,A,17.04,0.23,A,2.11,0.22,A,6.63,0.14,A,10.71,0.18,A,0.92,0.04,A,8.96,0.31,A,0.19,0.08,A,0.24,0.05,A,,,ND,0.35,0.03,A,2.01,NNO,,,0.47,0.05,A,0.53,0.05,CALC,F,94.24,50.33955857,2.493633277,triangle-right,#0173b2,Y,Y,Y,N,IaconoMarziano,1946.398529,99.3601618,0.57176793,0.030983284,0.42823207,0.030983284
Shishkina et al. (2010) Chem Geol,10.1016/j.chemgeo.2010.07.014,Basalt,"Mutnovsky, Kamchatka",Natural,KFT,FTIR,IHPV,M5,1250,3,A,2000,50,A,0.64,0.13,A,990,83,A,49.19,0.31,A,17.85,0.1,A,2.38,0.19,A,6.85,0.25,A,11.09,0.32,A,0.89,0.06,A,7.93,0.32,A,0.27,0.08,A,0.25,0.05,A,,,ND,0.12,0.03,A,0.31,NNO,,,0.06,0.05,A,0.94,0.05,CALC,F,96.7,50.86866598,2.71975181,triangle-right,#0173b2,Y,Y,Y,N,IaconoMarziano,1988.878014,158.4778035,0.038872133,0.014850337,0.961127867,0.014850337
Shishkina et al. (2010) Chem Geol,10.1016/j.chemgeo.2010.07.014,Basalt,"Mutnovsky, Kamchatka",Natural,KFT,ND,IHPV,M33,1250,3,A,3000,50,A,6.25,0.12,A,0,0,A,45.78,0.24,A,16.53,0.22,A,2.17,0.13,A,6.38,0.25,A,10.22,0.3,A,0.83,0.04,A,8.54,0.44,A,0.15,0.08,A,0.2,0.03,A,,,ND,,,,2.6,NNO,,,1,0.02,A,0,0.02,CALC,F,90.8,50.4185022,2.610132159,triangle-right,#0173b2,Y,Y,Y,N,IaconoMarziano,3124.213451,2901.565505,1,0,0,0
Shishkina et al. (2010) Chem Geol,10.1016/j.chemgeo.2010.07.014,Basalt,"Mutnovsky, Kamchatka",Natural,KFT,FTIR,IHPV,M34,1250,3,A,3000,50,A,5.7,0.13,A,375,30,A,46,0.3,A,16.6,0.24,A,2.25,0.12,A,6.29,0.17,A,10.15,0.36,A,0.85,0.05,A,8.67,0.4,A,0.2,0.08,A,0.23,0.05,A,,,ND,0.43,0.02,A,2.49,NNO,,,0.87,0.03,A,0.13,0.03,CALC,F,91.24,50.416484,2.718106094,triangle-right,#0173b2,Y,Y,Y,N,IaconoMarziano,2918.696761,115.0177122,0.889268119,0.010151996,0.110731881,0.010151996
Shishkina et al. (2010) Chem Geol,10.1016/j.chemgeo.2010.07.014,Basalt,"Mutnovsky, Kamchatka",Natural,KFT,FTIR,IHPV,M35,1250,3,A,3000,50,A,4.2,0.12,A,1019,81,A,45.96,0.57,A,16.83,0.26,A,2.28,0.2,A,6.5,0.18,A,10.11,0.41,A,0.84,0.04,A,8.26,0.61,A,0.16,0.08,A,0.23,0.03,A,,,ND,0.39,0.02,A,2.17,NNO,,,0.57,0.04,A,0.43,0.04,CALC,F,91.17,50.41131951,2.753098607,triangle-right,#0173b2,Y,Y,Y,N,IaconoMarziano,2823.522221,138.3949133,0.617174227,0.024924679,0.382825773,0.024924679
Shishkina et al. (2010) Chem Geol,10.1016/j.chemgeo.2010.07.014,Basalt,"Mutnovsky, Kamchatka",Natural,KFT,FTIR,IHPV,M36,1250,3,A,3000,50,A,2.82,0.11,A,1392,111,A,47.38,0.41,A,17.34,0.25,A,2.2,0.18,A,6.51,0.18,A,10.65,0.34,A,0.88,0.04,A,9,0.34,A,0.13,0.1,A,0.23,0.03,A,,,ND,0.34,0.02,A,1.78,NNO,,,0.34,0.05,A,0.66,0.05,CALC,F,94.32,50.23324852,2.576335878,triangle-right,#0173b2,Y,Y,Y,N,IaconoMarziano,2815.937416,158.0931221,0.337843033,0.023371074,0.662156967,0.023371074
Shishkina et al. (2010) Chem Geol,10.1016/j.chemgeo.2010.07.014,Basalt,"Mutnovsky, Kamchatka",Natural,KFT,FTIR,IHPV,M37,1250,3,A,3000,50,A,0.65,0.12,A,1627,142,A,50.04,0.53,A,18.21,0.35,A,2.33,0.15,A,7.18,0.19,A,11.31,0.35,A,0.95,0.03,A,6.66,0.25,A,0.14,0.07,A,0.24,0.02,A,,,ND,0.21,0.03,A,0.19,NNO,,,0.05,0.05,A,0.95,0.05,CALC,T,97.06,51.55573872,2.647846693,triangle-right,#0173b2,Y,Y,Y,N,IaconoMarziano,3108.211777,232.3623091,0.027162178,0.009035602,0.972837822,0.009035602
Shishkina et al. (2010) Chem Geol,10.1016/j.chemgeo.2010.07.014,Basalt,"Mutnovsky, Kamchatka",Natural,KFT,ND,IHPV,M38,1250,3,A,4000,50,A,7.36,0.12,A,0,0,A,45.22,0.45,A,16.37,0.23,A,2.24,0.13,A,6.11,0.25,A,10.05,0.36,A,0.84,0.06,A,8.68,0.36,A,0.14,0.08,A,0.23,0.02,A,,,ND,,,,2.6,NNO,,,1,0.05,A,0,0.05,CALC,F,89.88,50.31152648,2.748108589,triangle-right,#0173b2,Y,Y,Y,N,IaconoMarziano,3593.258173,142.8361667,1,0,0,0
Shishkina et al. (2010) Chem Geol,10.1016/j.chemgeo.2010.07.014,Basalt,"Mutnovsky, Kamchatka",Natural,KFT,FTIR,IHPV,M39,1250,3,A,4000,50,A,6.75,0.12,A,681,54,A,45.64,0.26,A,16.59,0.23,A,2.12,0.12,A,6.22,0.14,A,10.15,0.2,A,0.86,0.04,A,8.42,0.32,A,0.18,0.1,A,0.24,0.06,A,,,ND,0.46,0.02,A,2.51,NNO,,,0.89,0.03,A,0.11,0.03,CALC,F,90.42,50.4755585,2.610042026,triangle-right,#0173b2,Y,Y,Y,N,IaconoMarziano,3806.485021,113.0734387,0.873054186,0.010528938,0.126945814,0.010528938
Shishkina et al. (2010) Chem Geol,10.1016/j.chemgeo.2010.07.014,Basalt,"Mutnovsky, Kamchatka",Natural,KFT,FTIR,IHPV,M30,1250,3,A,4000,50,A,5.65,0.12,A,1271,101,A,45.86,0.41,A,16.6,0.15,A,2.17,0.15,A,6.36,0.2,A,10.37,0.24,A,0.86,0.04,A,8.59,0.43,A,0.14,0.09,A,0.22,0.04,A,,,ND,0.41,0.02,A,2.3,NNO,,,0.67,0.04,A,0.33,0.04,CALC,F,91.17,50.30163431,2.621476363,triangle-right,#0173b2,Y,Y,Y,N,IaconoMarziano,3661.836745,142.7015843,0.710967567,0.019241944,0.289032433,0.019241944
Shishkina et al. (2010) Chem Geol,10.1016/j.chemgeo.2010.07.014,Basalt,"Mutnovsky, Kamchatka",Natural,KFT,FTIR,IHPV,M40,1250,3,A,4000,50,A,3.07,0.12,A,2183,178,A,47.51,0.4,A,17.27,0.22,A,2.24,0.15,A,6.66,0.21,A,10.59,0.26,A,0.92,0.04,A,8.93,0.3,A,0.17,0.09,A,0.22,0.04,A,,,ND,0.36,0.02,A,1.73,NNO,,,0.31,0.04,A,0.69,0.04,CALC,T,94.51,50.26981272,2.602899164,triangle-right,#0173b2,Y,Y,Y,N,IaconoMarziano,3684.388575,208.6239457,0.299099472,0.022348918,0.700900528,0.022348918
Shishkina et al. (2010) Chem Geol,10.1016/j.chemgeo.2010.07.014,Basalt,"Mutnovsky, Kamchatka",Natural,KFT,FTIR,IHPV,M19,1250,3,A,5000,50,A,3.29,0.13,A,3277,266,A,47.31,0.31,A,17.08,0.21,A,2.26,0.19,A,6.63,0.19,A,10.5,0.38,A,0.87,0.04,A,8.8,0.37,A,0.13,0.09,A,0.23,0.03,A,,,ND,0.3,0.02,A,1.45,NNO,,,0.18,0.04,A,0.82,0.04,CALC,T,93.81,50.4317237,2.654301247,triangle-right,#0173b2,Y,Y,Y,N,IaconoMarziano,4726.181188,256.9993441,0.267815816,0.020706317,0.732184184,0.020706317
Shishkina et al. (2010) Chem Geol,10.1016/j.chemgeo.2010.07.014,Basalt,"Mutnovsky, Kamchatka",Natural,KFT,FTIR,IHPV,M20,1250,3,A,5000,50,A,5.72,0.12,A,2421,268,A,46,0.4,A,16.65,0.25,A,2.14,0.18,A,6.38,0.17,A,10.31,0.25,A,0.83,0.04,A,8.48,0.35,A,0.19,0.07,A,0.25,0.05,A,,,ND,0.39,0.02,A,2.28,NNO,,,0.64,0.05,A,0.36,0.05,CALC,F,91.23,50.4220103,2.619752274,triangle-right,#0173b2,Y,Y,Y,N,IaconoMarziano,4599.4519,224.4518666,0.59621321,0.025832054,0.40378679,0.025832054
Shishkina et al. (2010) Chem Geol,10.1016/j.chemgeo.2010.07.014,Basalt,"Mutnovsky, Kamchatka",Natural,KFT,FTIR,IHPV,M21,1250,3,A,5000,50,A,7.56,0.14,A,1051,98,A,45.12,0.35,A,16.32,0.19,A,2.17,0.2,A,6.26,0.15,A,9.98,0.21,A,0.84,0.05,A,8.4,0.28,A,0.15,0.09,A,0.21,0.03,A,,,ND,0.44,0.02,A,2.52,NNO,,,0.91,0.05,A,0.09,0.05,CALC,F,89.45,50.44158748,2.660704304,triangle-right,#0173b2,Y,Y,Y,N,IaconoMarziano,4423.53077,139.3334863,0.860788159,0.01239622,0.139211841,0.01239622
Shishkina et al. (2010) Chem Geol,10.1016/j.chemgeo.2010.07.014,Basalt,"Mutnovsky, Kamchatka",Natural,KFT,ND,IHPV,M22,1250,3,A,5000,50,A,8.81,0.16,A,0,0,A,44.85,0.18,A,16.13,0.23,A,2.14,0.24,A,6.07,0.24,A,10.13,0.22,A,0.87,0.03,A,8.35,0.27,A,0.17,0.12,A,0.24,0.05,A,,,ND,,,,2.6,NNO,,,1,0.06,A,0,0.06,CALC,F,88.95,50.42158516,2.675660483,triangle-right,#0173b2,Y,Y,Y,N,IaconoMarziano,4472.29682,160.735742,1,0,0,0
Shishkina et al. (2010) Chem Geol,10.1016/j.chemgeo.2010.07.014,Basalt,"Mutnovsky, Kamchatka",Natural,KFT,FTIR,IHPV,M42,1250,3,A,5000,50,A,1.33,0.11,A,3318,276,A,48.64,0.39,A,17.53,0.24,A,2.36,0.14,A,6.75,0.21,A,10.89,0.36,A,0.9,0.06,A,8.5,0.49,A,0.15,0.08,A,0.22,0.02,A,,,ND,0.25,0.02,A,0.55,NNO,,,0.07,0.03,A,0.93,0.03,CALC,F,95.94,50.69835314,2.689180738,triangle-right,#0173b2,Y,Y,Y,N,IaconoMarziano,4888.127183,302.8298105,0.060553835,0.009582002,0.939446165,0.009582002
Shishkina et al. (2010) Chem Geol,10.1016/j.chemgeo.2010.07.014,Basalt,"Mutnovsky, Kamchatka",Natural,KFT,FTIR,IHPV,M43,1250,3,A,5000,50,A,2.62,0.11,A,3172,265,A,47.46,0.4,A,17.21,0.18,A,2.17,0.2,A,6.65,0.19,A,10.59,0.39,A,0.88,0.04,A,8.82,0.28,A,0.22,0.05,A,0.23,0.04,A,,,ND,0.33,0.02,A,1.24,NNO,,,0.16,0.04,A,0.84,0.04,CALC,F,94.23,50.36612544,2.546959567,triangle-right,#0173b2,Y,Y,Y,N,IaconoMarziano,4668.170703,295.947601,0.19075837,0.016447528,0.80924163,0.016447528
Shishkina et al. (2010) Chem Geol,10.1016/j.chemgeo.2010.07.014,Basalt,"Mutnovsky, Kamchatka",Natural,KFT,FTIR,IHPV,M44,1250,3,A,5000,50,A,4,0.12,A,3029,244,A,46.75,0.41,A,16.92,0.22,A,2.29,0.19,A,6.54,0.14,A,10.6,0.29,A,0.87,0.05,A,8.64,0.45,A,0.16,0.05,A,0.23,0.02,A,,,ND,0.37,0.02,A,1.65,NNO,,,0.27,0.05,A,0.73,0.05,CALC,F,93,50.2688172,2.709677419,triangle-right,#0173b2,Y,Y,Y,N,IaconoMarziano,4574.50404,240.6446415,0.363055476,0.021396657,0.636944524,0.021396657
Shishkina et al. (2010) Chem Geol,10.1016/j.chemgeo.2010.07.014,Basalt,"Mutnovsky, Kamchatka",Natural,KFT,FTIR,IHPV,M46,1250,3,A,5000,50,A,6.69,0.12,A,2189,181,A,45.69,0.36,A,16.39,0.35,A,2.17,0.21,A,6.32,0.17,A,10.12,0.17,A,0.85,0.03,A,8.45,0.42,A,0.18,0.07,A,0.21,0.04,A,,,ND,0.43,0.02,A,2.39,NNO,,,0.76,0.05,A,0.24,0.05,CALC,F,90.38,50.55321974,2.633325957,triangle-right,#0173b2,Y,Y,Y,N,IaconoMarziano,4760.634118,184.9546731,0.699503217,0.018926873,0.300496783,0.018926873
Allison et al. (2019),10.1007/s00410-019-1592-4,Basalt,Stromboli,Synthetic,FTIR,FTIR,PC,ST-3,1200,10,A,4270,100,A,2.33,0.03,A,3568,30,A,50.03,0.06,A,16.74,0.05,A,2.46,0.04,A,8.03,0.04,A,12.74,0.09,A,0.82,0.02,A,6.56,0.04,A,0.2,0.02,A,1.99,0.03,A,0.41,0.02,A,,,,,,,,0.164,0.05,A,0.836,0.05,CALC,F,99.98,50.040008,4.450890178,diamond-wide,#0173b2,N,N,N,N,IaconoMarziano,4006.588104,42.93439756,0.156108924,0.003457771,0.843891076,0.003457771
Allison et al. (2019),10.1007/s00410-019-1592-4,Basalt,Stromboli,Synthetic,FTIR,FTIR,PC,ST-6,1200,10,A,5192,100,A,2.64,0.02,A,5272,18,A,49.72,0.15,A,16.89,0.14,A,2.45,0.04,A,8,0.1,A,12.62,0.08,A,0.81,0.02,A,6.94,0.06,A,0.2,0.02,A,1.96,0.03,A,0.41,0.04,A,,,,,,,,0.044,0.05,A,0.956,0.05,CALC,T,100,49.72,4.41,diamond-wide,#0173b2,N,N,N,N,IaconoMarziano,5121.760546,55.4248215,0.15370333,0.002173041,0.84629667,0.002173041
Allison et al. (2019),10.1007/s00410-019-1592-4,Basalt,Stromboli,Synthetic,FTIR,FTIR,PC,ST-4,1200,10,A,6080,100,A,4.16,0.02,A,6068,86,A,49.81,0.27,A,16.65,0.09,A,2.42,0.05,A,8.16,0.03,A,12.75,0.08,A,0.78,0.07,A,6.95,0.11,A,0.2,0.03,A,1.88,0.14,A,0.39,0.05,A,,,,,,,,0.209,0.05,A,0.791,0.05,CALC,F,99.99,49.8149815,4.300430043,diamond-wide,#0173b2,N,N,N,N,IaconoMarziano,5532.294088,107.4516749,0.280622098,0.003721009,0.719377902,0.003721009
Allison et al. (2019),10.1007/s00410-019-1592-4,Phonotephrite,Erebus,Synthetic,FTIR,FTIR,PC,Z-31,1200,10,A,4078,100,A,2.52,0.05,A,3368,67,A,48.38,0.17,A,19.27,0.13,A,6.16,0.05,A,3.19,0.06,A,6.93,0.07,A,2.81,0.03,A,8.92,0.06,A,0.25,0.02,A,2.89,0.01,A,1.19,0.02,A,,,,,,,,0.112,0.05,A,0.888,0.05,CALC,F,99.99,48.38483848,9.050905091,diamond,#fbafe4,N,N,N,N,IaconoMarziano,2600.900122,40.58206996,0.386839609,0.010230213,0.613160391,0.010230213
Allison et al. (2019),10.1007/s00410-019-1592-4,Phonotephrite,Erebus,Synthetic,FTIR,FTIR,PC,EB-4,1200,10,A,5247,100,A,2.32,0.03,A,5386,60,A,48.47,0.04,A,19.47,0.07,A,6.1,0.1,A,3.27,0.02,A,7.04,0.05,A,2.86,0.04,A,8.28,0.07,A,0.27,0.02,A,2.95,0.01,A,1.29,0.1,A,,,,,,,,0.105,0.05,A,0.895,0.05,CALC,F,100,48.47,9.05,diamond,#fbafe4,N,N,N,N,IaconoMarziano,3385.496203,52.07407487,0.272572211,0.005659436,0.727427789,0.005659436
Allison et al. (2019),10.1007/s00410-019-1592-4,Phonotephrite,Erebus,Synthetic,FTIR,FTIR,PC,EB-5,1200,10,A,6175,100,A,2.12,0.02,A,6754,16,A,48.61,0.05,A,19.65,0.11,A,6.18,0.06,A,3.26,0.05,A,7.07,0.04,A,2.86,0.03,A,7.85,0.02,A,0.26,0.01,A,2.98,0.02,A,1.27,0.03,A,,,,,,,,0.058,0.05,A,0.942,0.05,CALC,T,99.99,48.61486149,9.160916092,diamond,#fbafe4,N,N,N,N,IaconoMarziano,3816.393293,35.17268818,0.215801004,0.003357175,0.784198996,0.003357175
Allison et al. (2019),10.1007/s00410-019-1592-4,Trachybasalt,Etna,Natural,FTIR,FTIR,PC,Et-8,1200,10,A,4041,100,A,2.68,0.02,A,3996,37,A,48.77,0.09,A,16.98,0.13,A,3.65,0.06,A,6.33,0.05,A,11.26,0.12,A,1.79,0.01,A,8.7,0.14,A,0.18,0.02,A,1.79,0.03,A,0.53,0.01,A,,,,,,,,0.222,0.05,A,0.778,0.05,CALC,F,99.98,48.77975595,5.441088218,circle,#56b4e9,N,N,N,N,IaconoMarziano,3822.23959,51.81676709,0.214153119,0.00314377,0.785846881,0.00314377
Allison et al. (2019),10.1007/s00410-019-1592-4,Trachybasalt,Etna,Natural,FTIR,FTIR,PC,Z-22,1200,10,A,4194,100,A,3.35,0.02,A,4426,180,A,48.8,0.24,A,17.37,0.05,A,3.75,0.06,A,6.41,0.05,A,11.42,0.08,A,1.69,0.01,A,8.52,0.18,A,0.18,0.05,A,1.87,0.02,A,0.52,0.03,A,,,,,,,,0.209,0.05,A,0.791,0.05,CALC,F,100.53,48.54272357,5.590371034,circle,#56b4e9,N,N,N,N,IaconoMarziano,4057.840209,106.6538116,0.287704925,0.006659579,0.712295075,0.006659579
Allison et al. (2019),10.1007/s00410-019-1592-4,Trachybasalt,Etna,Natural,FTIR,FTIR,PC,Et-9,1200,10,A,5183,100,A,4.24,0.02,A,5395,53,A,48.45,0.17,A,17.16,0.06,A,3.64,0.09,A,6.21,0.07,A,11.16,0.02,A,1.79,0.03,A,8.95,0.1,A,0.18,0.01,A,1.87,0.02,A,0.57,0.02,A,,,,,,,,0.232,0.05,A,0.768,0.05,CALC,F,99.98,48.45969194,5.51110222,circle,#56b4e9,N,N,N,N,IaconoMarziano,4718.56242,68.80797345,0.355304211,0.003821287,0.644695789,0.003821287
Allison et al. (2019),10.1007/s00410-019-1592-4,Trachybasalt,Etna,Natural,FTIR,FTIR,PC,Et-5,1200,10,A,6168,100,A,5.19,0.03,A,7072,50,A,48.91,0.19,A,16.94,0.09,A,3.67,0.13,A,6.36,0.11,A,11.18,0.03,A,1.79,0.01,A,8.64,0.06,A,0.19,0.02,A,1.78,0.03,A,0.53,0.02,A,,,,,,,,0.259,0.05,A,0.741,0.05,CALC,T,99.99,48.91489149,5.450545055,circle,#56b4e9,N,N,N,N,IaconoMarziano,5621.170412,103.6322138,0.403810066,0.004866869,0.596189934,0.004866869
Allison et al. (2019),10.1007/s00410-019-1592-4,Trachybasalt,Etna,Natural,FTIR,FTIR,PC,Z-15,1200,10,A,6199,100,A,4.53,0.04,A,7659,48,A,49.06,0.02,A,17.22,0.06,A,3.68,0.14,A,6.37,0,A,11.42,0.05,A,1.69,0.01,A,8.54,0.11,A,0.19,0.02,A,1.82,0.06,A,0.52,0.03,A,,,,,,,,0.18,0.05,A,0.82,0.05,CALC,F,100.51,48.81106358,5.472092329,circle,#56b4e9,N,N,N,N,IaconoMarziano,5758.557505,115.4166906,0.330477422,0.005274792,0.669522578,0.005274792
Allison et al. (2019),10.1007/s00410-019-1592-4,Basaltic andesite,San Francisco Volcanic Field,Natural,FTIR,FTIR,PC,SU-7,1200,10,A,4133,100,A,5.27,0.02,A,2040,17,A,53.5,0.21,A,16.75,0.11,A,3.22,0.06,A,6.42,0.09,A,9.32,0.03,A,1.14,0.01,A,7.58,0.05,A,0.17,0.03,A,1.35,0,A,0.74,0.03,A,,,,,,,,0.441,0.05,A,0.559,0.05,CALC,F,100.19,53.39854277,4.561333466,cross,#de8f05,N,N,N,N,IaconoMarziano,4233.738854,37.65838849,0.635449111,0.003641769,0.364550889,0.003641769
